Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	0be4885c-271b-4523-9b58-735fed2be17f
Plate Name	ATM_ATR100324
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - Intensity Nucleus Alexa 488 Mean	full nuclei -  Area [µm²]	full nuclei -  Roundness	full nuclei -  Width [µm]	full nuclei -  Length [µm]	full nuclei -  Ratio Width to Length	full nuclei - Number of Spots H2AX- per Cell 	
2	2	1	0	24	11	638	701	[605,680,659,724]	-1586.62	597.3					14	594	0.0515939	24	0.013468	5233.86	158.053	0.882851	11.9275	16.4123	0.726741	24	
2	2	1	0	24	12	132	711	[106,684,159,741]	-1735.46	594.35					15	1004	0.0396838	29	0.0121644	8732.06	211.446	0.983869	15.0684	17.2141	0.87535	29	
2	2	1	0	24	13	720	773	[690,749,747,798]	-1560.61	576.2					16	863	0.0488953	31	0.0152185	7059.66	180.67	0.826622	12.8303	17.6793	0.725723	31	
2	2	1	0	24	14	213	995	[186,970,247,1022]	-1711.19	509.82					17	1268	0.0375275	33	0.0131842	6413.15	222.001	0.950251	14.4923	18.9505	0.764746	33	
2	2	1	0	24	15	416	1036	[389,1005,443,1076]	-1651.45	496.69					18	1277	0.0632554	63	0.0212694	7969.29	262.712	0.909544	15.4978	21.4448	0.722687	63	
2	2	1	0	98	1	553	75	[527,48,578,101]	1295.49	-1153.29					1	693	0.0257971	14	0.00781686	5709.5	158.851	0.920397	10.1781	18.467	0.551154	14	
2	2	1	0	98	2	213	195	[191,169,246,228]	1195.69	-1190.75					2	837	0.0391524	18	0.00861244	8016.9	185.37	0.925723	11.3013	19.7211	0.573055	18	
2	2	1	0	98	3	504	228	[455,198,541,259]	1279.67	-1198.85					3	1026	0.0175743	26	0.00708447	5165.74	325.507	0.927491	16.0046	26.5908	0.601887	26	
2	2	1	0	98	4	798	1000	[770,965,828,1030]	1369.23	-1428.66					4	811	0.0288785	22	0.00900901	8075.05	216.591	0.900122	13.5039	19.3603	0.697504	22	
2	2	1	0	46	1	922	296	[885,268,956,325]	-1500.37	71.91					1	1091	0.0255655	20	0.00652316	2991.85	271.936	0.86998	16.082	21.1973	0.758684	20	
2	2	1	0	46	2	185	517	[157,484,213,561]	-1719.84	5.09					2	1168	0.0198815	38	0.0114769	7363.68	293.666	0.914416	15.6346	23.1933	0.6741	38	
2	2	1	0	91	1	279	561	[251,520,310,604]	-1045.95	-1298.37					1	1281	0.0282217103288	34	0.009866511	5138.45037725	305.639527082	0.861512276577	13.4775856084	27.7080362303	0.486414320248	34	
2	2	1	0	61	1	405	283	[362,253,442,314]	-40.88	-246.86					1	1403	0.0526682	52	0.0134715	3490.2	342.359	0.909754	17.3961	23.9441	0.72653	52	
2	2	1	0	61	2	75	327	[45,297,116,357]	-136.67	-259.51					2	1275	0.0305206	32	0.00950401	3826.02	298.633	0.918002	17.3143	21.4964	0.805452	32	
2	2	1	0	61	3	239	375	[197,337,294,414]	-87.48	-274.1					3	2271	0.0418922	65	0.0110282	3466.36	522.762	0.853217	21.8524	28.9019	0.756089	65	
2	2	1	0	61	4	716	469	[696,448,737,500]	52.9	-303.65					4	786	0.0328811	17	0.0093819	3944.18	160.714	0.956549	11.9275	15.4864	0.770192	17	
2	2	1	0	61	5	521	527	[479,482,576,566]	-3.34	-318.02					5	2006	0.0249379	53	0.00886436	5155.83	530.301	0.922577	21.9739	30.0853	0.730386	53	
2	2	1	0	61	6	506	932	[477,905,534,970]	-10.32	-441.18					7	1349	0.0630352	61	0.0211292	3927.3	256.06	0.923935	15.452	20.1549	0.766664	61	
2	2	1	0	61	7	254	1037	[224,1010,285,1065]	-85.11	-471.12					8	1236	0.0428179	40	0.0154321	4830.41	229.895	0.96288	14.1203	19.7279	0.715756	40	
2	2	1	0	43	1	642	660	[613,631,679,688]	-937.25	286.95					1	885	0.0594028859802	30	0.01152959	10928.1364335	230.781790327	0.864967642973	13.0767745918	22.6418048125	0.577550009818	30	
2	2	1	0	2	1	286	202	[237,173,321,246]	-1691.91	1389.93					1	1214	0.024339	26	0.00729927	11437.1	315.928	0.698535	13.1579	29.5723	0.44494	26	
2	2	1	0	2	2	368	266	[332,241,421,292]	-1663.71	1372.71					2	1280	0.0636376	48	0.0141135	7829.83	301.648	0.887988	14.208	26.5123	0.535903	48	
2	2	1	0	2	3	190	503	[169,475,210,531]	-1718.38	1302.85					3	847	0.050225	35	0.0193906	6435	160.093	0.931857	11.1909	17.1444	0.652741	35	
2	2	1	0	2	4	122	822	[78,797,149,857]	-1741.15	1206					4	787	0.0183242	24	0.00944139	5146.11	225.46	0.886103	10.7873	24.3718	0.442616	24	
2	2	1	0	2	5	221	98	[132,65,256,134]	-1715.88	1421.52					5	1763	0.0739937	71	0.012469299999999999	6420.27	505.024	0.800896	17.1496	37.0059	0.463429	71	
2	2	1	0	2	6	368	183	[333,140,408,220]	-1664.59	1398.8					6	1273	0.0174826	42	0.0103296	12000.1	360.63	0.772206	16.181	25.274	0.640224	42	
2	2	1	0	2	7	151	341	[122,312,189,371]	-1729.09	1350.7					7	1203	0.0275382	32	0.0103627	6427.34	273.887	0.960107	16.2685	19.7211	0.824925	32	
2	2	1	0	2	8	264	341	[241,318,288,365]	-1696.25	1350.97					8	550	0.0575608	22	0.0121816	6495.64	160.181	0.97829	12.8855	14.6929	0.876986	22	
2	2	1	0	2	9	324	403	[293,379,368,435]	-1677.26	1330.91					9	1015	0.0624438	34	0.012436	9917.61	242.489	0.828347	12.6352	24.6756	0.512054	34	
2	2	1	0	2	10	220	424	[194,399,248,453]	-1709.49	1325.73					10	928	0.053431	39	0.0180139	6219.4	192.023	0.95857	13.0768	17.7344	0.737368	39	
2	2	1	0	2	11	291	584	[253,545,330,625]	-1688.73	1277.98					11	1793	0.0450317	43	0.00882051	4681.77	432.383	0.926923	20.9489	25.082	0.835218	43	
2	2	1	0	2	12	316	812	[287,742,342,844]	-1681.36	1214.33					12	1445	0.0289303	42	0.0110439	5155.91	337.303	0.773942	14.3447	30.3786	0.472197	42	
2	2	1	0	2	13	259	877	[230,849,287,907]	-1698.28	1191.37					13	1065	0.0501346	41	0.0153962	7871.25	236.192	0.939831	15.8599	17.6391	0.899132	41	
2	2	1	0	66	1	748	414	[726,392,777,449]	-1551.57	-287.38					1	740	0.0485383	23	0.0117707	10119	173.308	0.871264	10.9829	20.5579	0.534242	23	
2	2	1	0	66	2	381	437	[342,420,432,454]	-1660.4	-292.26					2	815	0.0302459	17	0.00831296	6237.27	181.379	0.677502	7.76607	27.2236	0.285269	17	
2	2	1	0	66	3	100	473	[67,428,132,503]	-1745.45	-302.53					3	1127	0.0227656	35	0.0102489	3136.3	302.89	0.904942	16.181	22.7532	0.711153	35	
2	2	1	0	14	1	564	585	[542,545,592,658]	1300.13	951.57					1	1322	0.0752259	35	0.0108192	3959.11	286.925	0.662535	10.4193	35.0588	0.297194	35	
2	2	1	0	14	2	988	425	[961,398,1019,452]	1426.21	1002.67					2	974	0.0312216	26	0.0110357	3305.81	208.963	0.963483	14.7471	17.6416	0.835927	26	
2	2	1	0	34	1	483	988	[453,957,511,1020]	1597.37	512.25					1	889	0.0240290621296	24	0.008791209	5851.17106227	242.134622441	0.852378203519	14.4063861566	20.7383029763	0.694675266971	24	
2	2	1	0	76	1	923	772	[886,744,963,798]	1406.16	-714.92					1	1156	0.0420164	30	0.0108264	5067.93	245.771	0.891443	11.9126	23.9329	0.49775	30	
2	2	1	0	76	2	746	611	[713,580,778,657]	1352.64	-669.32					3	1374	0.0411751	38	0.0104712	2436.86	321.871	0.878181	16.2685	23.9478	0.679331	38	
2	2	1	0	76	3	787	645	[751,600,814,675]	1364.97	-675.95					4	1151	0.0447226	40	0.0132538	2610.7	267.678	0.802098	12.8303	23.3932	0.548462	40	
2	2	1	0	79	1	1020	645	[993,596,1041,685]	1434.01	-999.17					1	1403	0.0376728	33	0.0104397	3335.71	280.362	0.837475	11.9868	27.5314	0.435388	33	
2	2	1	0	79	2	792	243	[768,219,835,266]	1369.09	-880.53					3	831	0.0356115	18	0.00729335	6082.77	218.897	0.871116	12.7471	20.0091	0.637062	18	
2	2	1	0	49	1	120	790	[97,769,155,822]	-769.22	-75.97					1	869	0.030116024984	18	0.009283136	9631.01547189	171.977667734	0.886491926516	10.9505383068	20.32576336	0.538751638149	18	
2	2	1	0	81	1	991	309	[965,280,1016,341]	780.12	-900.54					1	920	0.0425518	22	0.00895401	3184.38	217.921	0.933884	13.4776	19.6671	0.685286	22	
2	2	1	0	81	2	138	984	[110,958,166,1014]	526.36	-1101.46					2	923	0.0335592	31	0.0151663	4955.71	181.291	0.900761	10.655	21.2954	0.500342	31	
2	2	1	0	77	1	175	84	[136,56,206,116]	1505.94	-509.99					1	980	0.0365002	16	0.00542189	6181.82	261.736	0.846155	14.5412	20.8492	0.697446	16	
2	2	1	0	77	2	284	694	[254,663,323,726]	1539.21	-692.48					2	1482	0.0435076	29	0.00897	4812.42	286.748	0.907191	15.4635	23.0475	0.670939	29	
2	2	1	0	77	3	209	791	[178,764,241,820]	1516.31	-720.27					3	758	0.0161981	17	0.0063742	2615	236.547	0.888315	14.7351	18.5819	0.792982	17	
2	2	1	0	77	4	241	831	[208,803,274,861]	1526.28	-733.16					4	876	0.0232381	20	0.00768344	2817.86	230.87	0.87596	13.9561	21.237	0.657159	20	
2	2	1	0	77	5	141	1040	[115,1014,184,1066]	1497.75	-795.22					5	816	0.0228762	20	0.00737463	6188.01	240.538	0.880463	13.438	21.5911	0.622388	20	
2	2	1	0	87	1	815	350	[785,326,846,379]	-1209.83	-912.61					1	0	0	0	0	1637.84053309	192.998145946	0.830922838205	11.441693289	21.7160310083	0.526877737678	0	
2	2	1	0	84	1	580	130	[561,106,613,179]	-308.84	-850.38					1	873	0.0231019	19	0.00827887	5932.19	203.553	0.789225	9.76907	24.3117	0.401827	19	
2	2	1	0	84	2	350	591	[328,571,393,611]	-376.84	-983.93					2	941	0.0411756	26	0.0130522	10175.2	176.678	0.893894	11.317	19.6851	0.5749	26	
2	2	1	0	84	3	657	252	[626,217,692,290]	-287.3	-883.55					3	1279	0.0254929	22	0.0058855	5934.48	331.538	0.888538	17.0667	23.6477	0.721704	22	
2	2	1	0	84	4	848	807	[819,777,876,835]	-230.95	-1048.73					4	999	0.0389423	40	0.0154143	4733.41	230.161	0.914089	14.7471	20.0069	0.737102	40	
2	2	1	0	51	1	486	392	[449,366,517,420]	306.25	43.48					2	965	0.0724648	30	0.0108972	3471.64	244.175	0.94555	14.158	20.5859	0.687751	30	
2	2	1	0	51	2	268	567	[236,538,310,599]	243.61	-8.34					3	1499	0.033961	52	0.0148106	3033.48	311.405	0.894527	16.5495	22.5653	0.733407	52	
2	2	1	0	51	3	918	568	[891,540,946,600]	435.64	-9.53					4	1088	0.0325142	33	0.0122268	3648.86	239.385	0.878027	15.2207	19.25	0.790683	33	
2	2	1	0	51	4	76	575	[31,545,109,607]	183.05	-10.73					5	1378	0.0388382	62	0.0172895	3955.3	318.057	0.930547	15.4635	24.2258	0.638307	62	
2	2	1	0	51	5	809	613	[774,577,841,653]	403	-22.55					6	1451	0.0305218	50	0.0130378	4361.16	340.141	0.901658	17.1909	24.4499	0.703109	50	
2	2	1	0	51	6	924	627	[889,598,952,654]	436.51	-25.68					7	1106	0.0294518	29	0.0101933	3407.27	252.334	0.933432	14.9976	18.3803	0.815961	29	
2	2	1	0	51	7	187	769	[156,740,228,800]	219.1	-68.43					8	1412	0.0449189	54	0.0163785	3154.05	292.424	0.917421	16.7837	21.4943	0.780842	54	
2	2	1	0	51	8	796	915	[769,887,823,951]	399.09	-112.99					10	828	0.0775097	29	0.0105647	3450.15	243.465	0.956248	15.5321	19.0695	0.814503	29	
2	2	1	0	71	1	927	230	[897,203,982,260]	-203.86	-553.91					1	1495	0.0387454	49	0.012724	6105.13	341.561	0.894464	15.7251	25.3213	0.621022	49	
2	2	1	0	71	2	403	341	[362,297,439,380]	-362.64	-586.05					2	1441	0.0541329	50	0.0134844	12123.3	328.877	0.773419	15.0802	26.9552	0.559454	50	
2	2	1	0	71	3	387	391	[359,360,420,425]	-368.8	-601.85					3	992	0.0408976	36	0.0127479	11426.9	250.472	0.859	14.9027	20.5687	0.724533	36	
2	2	1	0	71	4	833	564	[809,539,864,596]	-234.57	-654.14					4	804	0.0810723	25	0.011655	8411.41	190.249	0.900173	11.4572	20.6547	0.5547	25	
2	2	1	0	27	1	194	810	[164,782,222,843]	-749	564.67					2	1289	0.0367576928794	39	0.01451973	4567.17535369	238.232086402	0.938359174945	14.6020675985	19.835488095	0.736158723623	39	
2	2	1	0	54	1	1028	585	[1002,553,1053,626]	1437.09	-14.56					1	639	0.0316955	21	0.0108808	7138.88	171.179	0.707741	8.27477	22.5417	0.367087	21	
2	2	1	0	54	2	568	607	[549,563,587,644]	1300.1	-19.12					2	1166	0.0419495	31	0.0128099	6119.9	214.639	0.829324	10.4022	24.5332	0.424007	31	
2	2	1	0	54	3	141	200	[107,161,176,241]	1172.89	101.39					3	1490	0.0327672	19	0.00461053	2987.66	365.508	0.866734	18.7032	24.0918	0.776331	19	
2	2	1	0	54	4	545	279	[516,249,576,313]	1293.54	77.2					4	1258	0.0597181	34	0.0115254	3906	261.647	0.891346	15.7702	20.5687	0.766708	34	
2	2	1	0	73	1	977	342	[948,308,1006,381]	453.3	-587.61					1	1344	0.0284996831013	47	0.01384797	4201.72304066	301.027439035	0.977099874755	16.7201522367	21.8706823584	0.764500712081	47	
2	2	1	0	41	1	647	364	[614,331,690,399]	-289.6	374.95					1	1602	0.0340427	61	0.0147307	5741.68	367.282	0.937101	19.2914	23.5444	0.819366	61	
2	2	1	0	41	2	735	883	[710,853,761,921]	-264.26	219.64					2	1011	0.0801968	34	0.013302	6608.75	226.702	0.930125	13.0768	20.9108	0.62536	34	
2	2	1	0	82	1	1013	383	[993,359,1036,418]	464.54	-923.73					1	745	0.0371345	21	0.0111643	12188.2	166.833	0.932143	11.3795	18.086	0.629189	21	
2	2	1	0	82	2	531	799	[509,768,553,823]	320.42	-1045.08					2	892	0.0510658	34	0.0175892	6780.51	171.446	0.93962	12.2213	16.8601	0.724865	34	
2	2	1	0	82	3	69	946	[36,905,104,974]	182.02	-1088.6					3	1335	0.0442623	41	0.013717	4670.02	265.106	0.898095	13.5039	23.6196	0.571724	41	
2	2	1	0	39	1	297	641	[268,612,328,671]	251.01	292.53					1	930	0.042031	15	0.00566038	3043.34	235.039	0.943336	14.7351	19.3282	0.762362	15	
2	2	1	0	39	2	761	803	[728,769,794,845]	388.77	243.58					2	1536	0.0342958	42	0.0107914	3720.86	345.197	0.909289	17.958	23.4443	0.765987	42	
2	2	1	0	22	1	76	388	[41,358,106,427]	-1430.7	1012.94					1	1378	0.0309668997646	45	0.01428571	4439.92507937	279.386102817	0.878618986123	15.6685989953	23.3988903053	0.669630003425	45	
2	2	1	0	101	1	205	814	[177,781,235,850]	1192.14	-1697.07					1	1193	0.0422095932823	17	0.006619938	4252.52336449	227.766194297	0.847912762663	11.7928874073	22.8407117503	0.51630997914	17	
2	2	1	0	23	1	477	71	[443,55,525,88]	-1631.2	1107.55					1	763	0.0382894	26	0.0121269	9110.63	190.16	0.797416	9.53009	24.4861	0.389203	26	
2	2	1	0	23	2	163	105	[141,83,186,136]	-1726.03	1097.13					2	575	0.0428267	21	0.0106925	8632.59	174.195	0.941029	12.6212	16.8075	0.750928	21	
2	2	1	0	23	3	351	117	[324,90,378,146]	-1670.12	1094					3	1069	0.0438279	36	0.0151707	6003.05	210.471	0.960659	14.208	16.8075	0.84534	36	
2	2	1	0	23	4	116	131	[85,103,148,162]	-1739.63	1090.36					4	1062	0.0840048	48	0.01726	8822.06	246.658	0.963376	15.5891	18.7836	0.829933	48	
2	2	1	0	23	5	302	239	[273,211,328,272]	-1685.46	1057.09					5	1142	0.0357507	23	0.0090694	7566.36	224.928	0.970501	13.7512	20.0954	0.684297	23	
2	2	1	0	23	6	358	617	[332,582,388,651]	-1667.67	945.76					6	1057	0.0348098	27	0.0100897	6406.56	237.345	0.884534	13.854	21.986	0.63013	27	
2	2	1	0	23	7	355	712	[329,686,379,738]	-1669.52	917.16					7	738	0.0331282	22	0.0115607	9702.85	168.785	0.938404	11.0794	17.5938	0.629731	22	
2	2	1	0	23	8	45	828	[13,803,73,855]	-1762.27	882.41					8	1062	0.034011	32	0.0133779	9003.88	212.156	0.965044	14.0195	18.2641	0.767597	32	
2	2	1	0	23	9	100	832	[71,811,133,853]	-1745.15	881.32					9	670	0.0292255	17	0.00839506	8496.03	179.605	0.883133	11.972	18.5245	0.646281	17	
2	2	1	0	23	10	249	960	[224,937,271,1020]	-1702.42	838.94					10	1199	0.0511729	51	0.0176105	8098.67	256.858	0.809205	12.5082	25.4262	0.491944	51	
2	2	1	0	23	11	40	992	[12,962,68,1022]	-1763.77	833.92					11	307	0.00692644	7	0.00282144	5808.72	220.05	0.857325	13.6995	19.0811	0.717962	7	
2	2	1	0	75	1	947	27	[924,8,975,55]	1090.48	-493.97					1	618	0.0279371	16	0.0091954	3311.89	154.328	0.857544	10.9343	18.6081	0.587611	16	
2	2	1	0	75	2	87	630	[47,591,126,672]	833.98	-673.02					2	1847	0.0589994	70	0.0142161	3529.93	436.729	0.910697	21.6485	23.9589	0.903571	70	
2	2	1	0	75	3	145	892	[114,867,173,923]	850.67	-750.49					3	725	0.0408333	33	0.0153346	2512.92	190.869	0.82556	12.2648	18.0074	0.681098	33	
2	2	1	0	75	4	99	911	[72,880,133,933]	838.28	-756.63					4	764	0.0498866	23	0.0115173	2654.37	177.122	0.769687	11.5035	17.1858	0.669364	23	
2	2	1	0	70	1	662	273	[630,242,694,307]	-609.07	-566.68					1	1238	0.0320521	32	0.0100787	4755.66	281.603	0.903001	17.2733	19.495	0.886038	32	
2	2	1	0	70	2	376	606	[345,575,405,637]	-694.82	-665.59					2	867	0.06206	35	0.0125	4401.98	248.343	0.954728	15.1857	19.9069	0.762834	35	
2	2	1	0	70	3	550	766	[521,732,578,799]	-643.5	-713.26					3	1159	0.0532665	35	0.0130451	6567.58	237.966	0.956271	14.158	21.126	0.670168	35	
2	2	1	0	8	1	970	730	[946,705,1013,753]	453.35	1234.77					1	921	0.0499803726775	26	0.01059063	3158.39144603	217.743772196	0.885373000628	12.621189548	20.7404412763	0.608530425164	26	
2	2	1	0	68	1	156	920	[132,895,181,958]	-1405.75	-760.64					1	1123	0.0442622697196	39	0.01575121	4449.4095315	219.606346214	0.931727529993	13.6995075055	19.7996839357	0.691905363236	39	
2	2	1	0	6	1	600	390	[573,361,635,421]	-304.1	1335.4					1	1249	0.0690238855529	40	0.01444043	6568.38736462	245.682382477	0.925058350755	14.4063861566	21.4840308288	0.670562534162	40	
2	2	1	0	56	1	284	112	[256,85,311,158]	1537.12	-197.98					1	972	0.0427069639887	13	0.005925251	3656.93163172	194.594637962	0.76858724911	10.5546039776	21.9657771286	0.480502188279	13	
2	2	1	0	85	1	413	496	[376,463,450,540]	-684.1	-956.75					1	1273	0.0254429	27	0.00866218	9797.49	276.459	0.817304	11.1273	29.7532	0.373986	27	
2	2	1	0	85	2	717	929	[688,904,761,958]	-590.55	-1085.34					2	1279	0.0390246	38	0.0132774	8036.21	253.842	0.913715	13.3187	22.1367	0.601657	38	
2	2	1	0	65	1	745	844	[701,821,773,870]	-1232.59	-413.57					1	816	0.0268669	22	0.00999546	8903.33	195.215	0.765303	9.76907	23.178	0.42148	22	
2	2	1	0	65	2	330	828	[291,792,367,873]	-1354.11	-409.74					2	1539	0.0627502	40	0.00913868	3426.15	388.214	0.919415	16.931	27.8103	0.608804	40	
