Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	a20ae0ae-1f89-43bc-99c0-b7c0b721fe36
Plate Name	220210 TNBC IMPDH2 spot all lines
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
3	3	0	5	11	1027	225	[984,182,1070,267]	91.64	674.13					16	223	0.125461	18	0.00305862	208.236	0.975883	7.89066	3.78929	
3	3	0	5	12	306	255	[263,203,350,316]	-43.91	667.59					17	164	0.00433749	13	0.00164432	279.747	0.980361	5.803	2.07437	
3	3	0	5	13	659	259	[612,213,706,311]	22.53	667.01					18	140	0.00517481	14	0.00199345	248.503	0.997582	4.95378	1.99345	
3	3	0	5	14	777	260	[745,221,810,299]	44.81	667.48					19	26	0.00714785	1	0.000250063	141.501	0.953107	0.919988	0.650163	
3	3	0	5	15	899	273	[864,221,935,321]	68.09	665.22					20	42	0.00112223	6	0.00121729	174.408	0.907027	1.48613	0.8521	
3	3	0	5	16	818	315	[783,278,852,351]	52.42	657.38					21	0	0	0	0	143.447	0.95038	0	0	
3	3	0	5	17	475	407	[431,363,540,453]	-10.35	639.6					22	6	0.000127408	1	0.000129921	272.352	0.992422	0.212305	0.0779524	
3	3	0	5	18	985	396	[948,364,1038,428]	85.12	642.04					23	10	0.000442278	2	0.000435635	162.449	0.973408	0.353841	0.217817	
3	3	0	5	19	799	406	[764,371,842,447]	49.53	639.51					24	11	0.00053172	1	0.00023753	148.967	0.981262	0.389226	0.261283	
3	3	0	5	20	723	429	[679,382,768,483]	34.5	635.24					25	31	0.000758114	3	0.000436427	243.231	0.985648	1.09691	0.450975	
3	3	0	5	21	220	462	[174,416,268,519]	-59.86	628.67					26	103	0.00469342	7	0.000923239	268.283	1.00787	3.64457	1.35848	
3	3	0	5	22	814	504	[779,469,853,541]	51.96	621.63					27	13	0.000903449	1	0.000236574	149.569	0.99405	0.459994	0.307547	
3	3	0	5	23	111	535	[51,476,172,595]	-80.4	615.99					28	178	0.00565614	16	0.00145866	388.129	0.979993	6.29838	1.62276	
3	3	0	5	24	581	535	[543,497,624,574]	8.42	615.8					29	122	0.00897483	5	0.000979048	180.707	0.998347	4.31687	2.38888	
3	3	0	5	25	953	600	[909,549,997,653]	77.71	603.41					30	201	0.00992671	17	0.00230602	260.852	0.988149	7.11221	2.72653	
3	3	0	5	26	497	597	[452,551,543,653]	-7.73	603.56					31	52	0.00133659	7	0.00102609	241.391	0.998001	1.83998	0.76224	
3	3	0	5	27	724	621	[689,587,765,657]	35.34	599.44					33	15	0.000947238	1	0.00024178	146.349	0.987203	0.530762	0.362669	
3	3	0	5	28	812	675	[768,633,862,719]	51.69	589.55					35	141	0.00463934	16	0.00254777	222.212	1.00769	4.98916	2.24522	
3	3	0	5	29	661	717	[622,673,700,762]	22.78	581.58					36	18	0.00114215	1	0.000180636	195.887	0.995964	0.636915	0.325145	
3	3	0	5	30	908	742	[860,696,958,790]	69.32	576.52					37	141	0.0220353	8	0.0011088	255.297	0.992199	4.98916	1.95426	
3	3	0	5	31	128	743	[83,700,167,784]	-78.23	576.65					38	79	0.00513803	10	0.00177778	199.036	0.918351	2.79535	1.40444	
3	3	0	5	32	743	757	[703,719,781,819]	37.93	571.94					39	292	0.0202789	12	0.00201207	211.031	0.978874	10.3322	4.89604	
3	3	0	5	33	427	805	[380,751,474,861]	-21.23	565.12					40	95	0.00979239	5	0.000614402	287.956	0.988785	3.36149	1.16736	
3	3	0	5	34	819	798	[767,760,862,838]	51.74	566.04					41	218	0.0320853	13	0.00236493	194.507	0.964861	7.71374	3.9658	
3	3	0	5	35	1013	812	[965,764,1063,861]	89.32	563.5					42	640	0.040126	40	0.00517531	273.484	0.998665	22.6459	8.2805	
3	3	0	5	36	619	869	[572,822,672,920]	15.41	552.65					43	104	0.00832514	9	0.00117755	270.441	1.00033	3.67995	1.36072	
3	3	0	5	37	175	859	[106,804,254,915]	-67.27	554.56					44	151	0.00368883	20	0.00176788	400.301	0.904939	5.34301	1.33475	
3	3	0	5	38	221	969	[145,937,258,1005]	-63.67	533.87					45	266	0.0122638	26	0.00428336	214.782	0.911208	9.41218	4.38221	
3	3	0	5	39	320	1003	[283,944,358,1055]	-40.99	528.33					46	186	0.011853	20	0.00320616	220.726	0.933157	6.58145	2.98172	
3	3	0	5	40	45	1021	[13,982,78,1071]	-93.11	523.61					47	132	0.00479319	13	0.00283967	161.989	0.981759	4.67071	2.88336	
3	3	0	6	1	689	100	[665,72,710,130]	232.8	697.68					3	4	0.000305056	1	0.000491884	71.936	0.945463	0.141537	0.196754	
3	3	0	6	2	440	684	[411,653,471,716]	186.56	587.8					4	40	0.00520509	2	0.000653168	108.346	0.932573	1.41537	1.30634	
3	3	0	6	3	953	741	[914,691,990,787]	282.61	577.49					5	19	0.000589637	3	0.00055208	192.277	0.904439	0.672299	0.34965	
3	3	0	6	4	342	67	[293,18,386,133]	167.57	702.15					9	434	0.0190887	31	0.00415327	264.107	0.893567	15.3567	5.81458	
3	3	0	6	5	749	51	[717,20,782,84]	244.37	706.67					10	0	0	0	0	113.831	0.988722	0	0	
3	3	0	6	6	954	66	[912,25,994,122]	282.97	702.53					11	372	0.0126139	29	0.00461123	222.531	0.99093	13.1629	5.91509	
3	3	0	6	7	545	114	[495,61,588,157]	205.71	695.56					12	195	0.00574361	20	0.00345244	204.98	0.802657	6.89991	3.36613	
3	3	0	6	8	458	102	[416,61,515,145]	190.92	697.31					13	88	0.00218833	6	0.000941029	225.609	0.91046	3.1138	1.38018	
3	3	0	6	9	802	137	[751,93,854,182]	254.45	690.67					14	332	0.0130016	22	0.00301287	258.375	0.978938	11.7475	4.5467	
3	3	0	6	10	278	205	[234,139,320,252]	155.58	679.34					15	292	0.0100178	22	0.00284532	273.59	0.949843	10.3322	3.77651	
3	3	0	6	11	95	215	[48,154,145,275]	121.57	676.28					17	386	0.0106089	25	0.00274665	322.067	0.984891	13.6583	4.24083	
3	3	0	6	12	428	213	[386,171,472,274]	184.41	674.91					18	183	0.0101821	14	0.00211576	234.137	0.981047	6.4753	2.7656	
3	3	0	6	13	537	215	[493,172,592,259]	205.58	676.27					19	147	0.00751227	10	0.00146821	241.001	0.976505	5.20147	2.15827	
3	3	0	6	14	848	225	[804,180,892,278]	263.11	673.44					20	200	0.0056033	17	0.00250258	240.365	0.995619	7.07683	2.94421	
3	3	0	6	15	974	269	[933,227,1018,326]	287.23	664.36					21	277	0.00836192	24	0.00368324	230.563	0.985052	9.80141	4.25107	
3	3	0	6	16	658	286	[613,234,698,333]	227.12	662.82					22	65	0.00478853	3	0.000468384	226.635	0.963231	2.29997	1.01483	
3	3	0	6	17	398	300	[335,258,446,343]	177.38	660.06					23	30	0.00111689	3	0.000412428	257.384	0.953855	1.06152	0.412428	
