Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	49193b09-c41e-4ed2-81fc-d5944496572c
Plate Name	4.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Timepoint	Spots H2AX - Number of Objects	Spots H2AX - Relative Spot  Intensity - Mean per Well	Spots H2AX - Relative Spot  Intensity - StdDev per Well	Spots H2AX - Corrected Spot  Intensity - Mean per Well	Spots H2AX - Corrected Spot  Intensity - StdDev per Well	Spots H2AX - Uncorrected Spot  Peak Intensity - Mean per Well	Spots H2AX - Uncorrected Spot  Peak Intensity - StdDev per Well	Spots H2AX - Spot Contrast - Mean per Well	Spots H2AX - Spot Contrast - StdDev per Well	Spots H2AX - Spot Background Intensity - Mean per Well	Spots H2AX - Spot Background Intensity - StdDev per Well	Spots H2AX - Spot Area [px²] - Mean per Well	Spots H2AX - Spot Area [px²] - StdDev per Well	Spots H2AX - Region Intensity - Mean per Well	Spots H2AX - Region Intensity - StdDev per Well	Spots H2AX - Spot To Region Intensity - Mean per Well	Spots H2AX - Spot To Region Intensity - StdDev per Well	Spots H2AX - areaum2Spot Area [µm²] - Mean per Well	Spots H2AX - areaum2Spot Area [µm²] - StdDev per Well	Spots H2AX - areaum2Spot Roundness - Mean per Well	Spots H2AX - areaum2Spot Roundness - StdDev per Well	full nuclei - Number of Objects	full nuclei - Total Spot Area - Mean per Well	full nuclei - Total Spot Area - StdDev per Well	full nuclei - Relative Spot Intensity - Mean per Well	full nuclei - Relative Spot Intensity - StdDev per Well	full nuclei - Number of Spots - Mean per Well	full nuclei - Number of Spots - StdDev per Well	full nuclei - Number of Spots per Area of Nucleus - Mean per Well	full nuclei - Number of Spots per Area of Nucleus - StdDev per Well	full nuclei - areainum2n Area [µm²] - Mean per Well	full nuclei - areainum2n Area [µm²] - StdDev per Well	full nuclei - areainum2n Roundness - Mean per Well	full nuclei - areainum2n Roundness - StdDev per Well	full nuclei - areaum2Spot Area [µm²]- Sum per Cell  - Mean per Well	full nuclei - areaum2Spot Area [µm²]- Sum per Cell  - StdDev per Well	full nuclei - %areacoveredbyspots - Mean per Well	full nuclei - %areacoveredbyspots - StdDev per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	3	0	3693	0.0517256779043	0.0216335475113	97.7532989824	57.9813405489	2271.83563499	756.699102161	0.125877288816	0.0396752271905	1758.13586175	579.651373126	25.9658813972	9.85454480805	1567.9340258	515.229255971	1.18925958628	0.148325868578	2.30182341531	0.873585673422	0.898636206588	0.07656836902	501	191.401197605	184.918827377	0.00579835256987	0.00505183834807	7.37125748503	7.31012258554	0.00328851703682	0.0026618947083	180.021259433	73.1775515057	0.899912510748	0.0494719227853	16.9673330793	16.3926839331	8.63515439841	6.8485964731	36	0					
2	4	0	4323	0.0535529262745	0.022445773908	113.170465528	68.5104980074	2544.81933842	898.386991998	0.127891308655	0.0400284265795	1960.66656527	686.641248635	26.1556789267	10.8094880521	1746.92572265	592.398304573	1.19146494124	0.154661368386	2.31864858642	0.958239480695	0.899991676881	0.0766938251454	428	264.184579439	220.715943945	0.00845118089141	0.00641255310206	10.1004672897	8.89815915317	0.00456589875667	0.00335579009741	180.878991699	71.9902574557	0.88540777725	0.0544349090992	23.4194342035	19.5660266691	12.0128144021	8.31598117157	36	0					
2	5	0	7099	0.0511944720944	0.0201607360224	112.897609925	73.2965059384	2648.09677419	829.564132102	0.122575654771	0.0363452605202	2065.52217835	628.340826959	26.6979856318	11.3474077732	1850.24793132	536.057665077	1.18388501859	0.173242693302	2.3667229904	1.00592498733	0.896129023733	0.0773014226161	622	304.709003215	226.751910405	0.00913523979784	0.00619811955869	11.4131832797	9.04050750798	0.00504696272216	0.00320491018913	190.371861834	78.9247567233	0.879429813913	0.048324200439	27.0118432618	20.1011030148	13.4742734281	7.89865371445	36	0					
2	6	0	8563	0.0501971292573	0.0202899509572	116.544457746	63.2388364527	2795.53369146	906.549653552	0.118741516786	0.0367985768276	2202.51407824	723.942077668	28.3692631087	11.9068858297	1983.81775812	586.469976961	1.17462664951	0.156584938813	2.51487839368	1.05552159725	0.892817380732	0.0769516765051	857	283.460910152	219.767759057	0.00819216227185	0.00578433893903	9.991831972	8.11288225226	0.00445397911859	0.00301403668838	191.424543304	105.821149484	0.873170043105	0.0576622557877	25.1282423397	19.4819719766	12.5886677111	7.95308430905	36	0					
2	7	0	4602	0.04953183052	0.0191729909487	119.900468063	58.4890790635	2934.25706215	956.107516843	0.116585660536	0.0353983461217	2327.2111377	782.24408263	30.1973055193	13.1614524667	2106.01291756	699.071657567	1.17113112439	0.145228017164	2.67693069457	1.16673641861	0.889010248084	0.0791416236377	493	281.882352941	204.072456328	0.00845352951632	0.00540645677169	9.33468559838	7.34179715879	0.00438726597267	0.0027557185598	178.969879808	78.7189214151	0.880594815796	0.0495723613553	24.9883064024	18.0906148037	13.220037469	7.73238708381	36	0					
3	3	0	2533	0.0506349405736	0.020418459231	93.5095602725	57.5207336496	2203.32925385	683.324808274	0.124242976799	0.0377133410506	1708.77345177	507.090634456	26.9846032373	10.5923755614	1529.97504385	443.350558232	1.18141129241	0.134833445967	2.39213106746	0.938992892944	0.893977519445	0.076924955845	451	151.55654102	191.081235245	0.00408359532307	0.00446301491362	5.61640798226	7.41419637976	0.00235432386295	0.00230161192035	185.555592456	78.6246802925	0.894191238455	0.049082798475	13.4351840219	16.9389690565	6.40937235412	6.07975179462	36	0					
3	4	0	2609	0.0488085260414	0.018423024812	95.7819866699	56.3418168403	2334.26101955	739.500076025	0.118178621128	0.0342685181092	1837.94422574	578.845652497	26.7458796474	10.4092727621	1666.08449719	523.9685899	1.16562018758	0.138340363727	2.37096869902	0.92276119626	0.895158892791	0.0752872089494	331	210.81570997	206.051918717	0.00576626677787	0.00493707935147	7.88217522659	7.7288136284	0.00345182165154	0.00286025292915	183.671421799	80.2342102652	0.879732684862	0.0823308520178	18.6883907425	18.2660901826	9.22515872505	7.37279429724	36	0					
3	5	0	2239	0.0487452461692	0.0186380993968	99.436274533	51.7567708603	2436.95757034	647.306371368	0.118057693107	0.0340411342789	1919.22143909	501.921335892	27.4752121483	11.0185556038	1730.37708382	430.175973857	1.17093835837	0.137575700111	2.43562256548	0.976772900703	0.89269699428	0.0752461387941	274	224.51459854	178.841944683	0.00663637547557	0.00528393536606	8.17153284672	6.79930452062	0.00381095805392	0.00273176383853	175.135444698	64.4565813907	0.893599598119	0.0511497126282	19.902769796	15.8539804451	10.4972807962	7.09537537697	36	0					
3	6	0	7003	0.0485585101664	0.0186895489479	105.290539678	52.0675654776	2594.50506926	689.177542665	0.115318448832	0.0344222294088	2057.12804839	547.535706104	28.3424246751	11.5433120372	1859.90285226	478.752975942	1.16880937151	0.139230451486	2.51249922026	1.02329150823	0.892003038483	0.075526176593	729	272.26611797	198.521985016	0.00740592534303	0.00501003895417	9.60631001372	7.29669605478	0.00422507028282	0.00266469924177	192.494203867	78.1899795549	0.87782237743	0.0477075899503	24.135846419	17.5985766311	11.9490086004	7.10783095452	36	0					
3	7	0	1531	0.0484620757495	0.0185346464801	107.914252316	58.8528120055	2656.93664272	764.136550973	0.115505418451	0.0328429066587	2106.4293302	604.550102854	28.5166557805	11.3577109587	1911.34764354	524.539922495	1.1643549193	0.145195364578	2.52794445903	1.0068383441	0.892492680477	0.0748789301825	175	249.48	192.430427493	0.00739884969339	0.00536027360269	8.74857142857	7.36836088966	0.00420340721828	0.00289270769394	174.043881867	65.7271335697	0.87563867513	0.0523094140512	22.1159026673	17.058572249	12.0506340523	7.7399190692	36	0					
4	3	0	1871	0.0485310571836	0.0192992762554	91.7352894621	55.1212927813	2264.00427579	918.78522275	0.119079023003	0.0367636224457	1781.01099541	733.770588561	27.2544094067	10.7280655747	1604.9145868	657.999734439	1.17292104525	0.143321581799	2.41604884437	0.951021541037	0.89155800514	0.0774778915124	371	137.447439353	159.301615379	0.00391840837512	0.00425424283049	5.04312668464	5.71279029023	0.00229728655909	0.00218595269701	180.923635593	75.0883713708	0.879684359587	0.0570634119733	12.1844403984	14.1217693621	6.26317754829	5.98041973275	36	0					
4	4	0	5267	0.051631464553	0.0212514991703	102.660655097	58.9803781488	2388.18625403	658.894290144	0.124712758794	0.0386868432807	1851.60305075	488.472141148	25.6920448073	10.1402292516	1655.68987444	417.839671136	1.1845921055	0.155142281646	2.2775483497	0.898911027543	0.899743411303	0.0767691095362	511	264.81409002	208.431035938	0.0078224036955	0.00574647841693	10.3072407045	8.56586513486	0.00450090579383	0.00318107376855	189.608006996	72.1285491907	0.883768828586	0.0529322189611	23.4752390564	18.4769941625	11.6443276518	7.73063170508	36	0					
4	5	0	6585	0.0500166043554	0.0191718327166	109.450954947	56.6558891837	2625.13925588	733.700106646	0.120068302144	0.0354884567071	2059.40899425	570.178640555	26.8072892938	11.1363501367	1855.06174256	500.513732875	1.17502017789	0.144484741178	2.37641254127	0.987215150282	0.896606602762	0.0773275502637	636	277.556603774	223.361600695	0.00792966154922	0.00552698801587	10.3537735849	8.77840953286	0.00450394323464	0.0030130711872	189.59228283	79.8133595805	0.889565218346	0.0494400498438	24.6048373967	19.8005588447	12.1508163401	7.74083981027	36	0					
4	6	0	6047	0.047685991336	0.0170252870177	104.079144067	52.9872450244	2597.87729453	726.112410746	0.114496382536	0.0321069497699	2061.89347215	572.02770628	28.1683479411	11.6527992786	1865.87487764	500.072746811	1.16503957078	0.133783116758	2.4970676662	1.03299733304	0.89196762399	0.0782484971808	626	272.099041534	201.87676185	0.00707710333731	0.00506071333684	9.65974440895	7.62086877558	0.00417170114202	0.00272656159218	194.181458184	80.8354606345	0.881308458618	0.0463629359978	24.1210354274	17.8959708829	11.7494252346	7.06497973191	36	0					
4	7	0	5128	0.0488886033237	0.0192243604958	115.208151457	60.8622705288	2827.25448518	883.980134104	0.115483882042	0.0352189771694	2243.00815241	695.396752419	29.4492979719	13.7876906335	2030.65438265	622.554512717	1.16982774047	0.145855949574	2.61062132262	1.22225117868	0.891866816997	0.0779398242462	514	293.805447471	206.665028029	0.00812266691615	0.00546697480661	9.9766536965	7.76302525438	0.00441773396888	0.00272629673712	193.337835403	78.9459730778	0.905323397306	0.0494400157955	26.0452648685	18.320441096	12.9846400793	7.13784474501	36	0					
