Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	88a56760-05b6-4abc-bbbc-0dc6a9a4f394
Plate Name	2.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
2	3	0	17	6	745	83	[722,58,769,116]	-584.73	2072.62					9	474	0.0144055	20	0.0094518	187.661	0.893124	42.0376	22.4008	
2	3	0	3	1	78	159	[65,142,94,192]	-1105.89	2371.47					2	56	0.00370885	2	0.0017762	99.8614	0.80229	4.96647	4.97336	
2	3	0	3	2	108	164	[88,143,134,186]	-1096.73	2372.62					3	49	0.00218533	2	0.00153022	115.914	0.853226	4.34566	3.74904	
2	3	0	3	3	947	346	[931,329,967,363]	-846.71	2317.91					4	86	0.00875724	2	0.00203666	87.0905	0.981936	7.62707	8.75764	
2	3	0	3	4	27	353	[11,337,42,370]	-1121.24	2315.86					5	0	0	0	0	70.0626	0.884412	0	0	
2	3	0	3	5	54	369	[35,346,70,386]	-1113.39	2312.08					6	22	0.00106079	1	0.00107643	82.3901	0.826399	1.95111	2.36814	
2	3	0	3	6	30	397	[9,376,52,418]	-1120.06	2302.77					7	0	0	0	0	122.033	0.902884	0	0	
2	3	0	3	7	653	460	[636,446,674,488]	-935.33	2282.81					8	19	0.000668155	1	0.00107527	82.4788	0.802182	1.68505	2.04301	
2	3	0	3	8	666	484	[647,465,682,500]	-930.84	2277.02					9	53	0.00415433	2	0.002331	76.0934	0.907394	4.70041	6.17716	
2	3	0	3	9	262	1021	[233,1000,285,1044]	-1052.16	2116.8					10	40	0.00106726	1	0.000556174	159.459	0.929772	3.54748	2.22469	
2	3	0	3	10	1044	47	[1014,18,1073,90]	-818.4	2405.21					11	374	0.0100325	16	0.00492611	288.055	0.894217	33.1689	11.5148	
2	3	0	3	11	291	76	[268,54,320,100]	-1041.61	2398.1					12	243	0.00694273	9	0.00472441	168.949	0.961202	21.5509	12.7559	
2	3	0	3	12	567	90	[542,67,595,115]	-959.79	2393.69					13	65	0.00120157	2	0.00102934	172.319	0.921153	5.76465	3.34534	
2	3	0	3	13	492	98	[468,74,515,127]	-983.04	2391.02					14	144	0.00445599	5	0.00249004	178.083	0.975282	12.7709	7.17131	
2	3	0	3	14	838	133	[812,110,860,155]	-880.21	2381.45					15	0	0	0	0	146.156	0.935818	0	0	
2	3	0	3	15	578	234	[553,209,603,260]	-957.18	2351.02					16	153	0.00337546	6	0.00306748	173.472	0.99141	13.5691	7.82209	
2	3	0	3	16	300	463	[277,433,324,486]	-1040.1	2283.94					17	321	0.00797157	9	0.00475185	167.973	0.98113	28.4685	16.9483	
2	3	0	3	17	814	586	[786,557,843,616]	-886.87	2246.21					19	733	0.0150821	33	0.0128505	227.748	0.951381	65.0075	28.5436	
2	3	0	3	18	729	585	[706,562,760,609]	-911.12	2246.42					20	64	0.00157694	2	0.0009995	177.462	0.929885	5.67596	3.1984	
2	3	0	3	19	945	672	[924,650,969,694]	-847.63	2220.65					21	65	0.00199495	2	0.00126904	139.771	0.935282	5.76465	4.12437	
