Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	88a56760-05b6-4abc-bbbc-0dc6a9a4f394
Plate Name	2.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Timepoint	Spots H2AX - Number of Objects	Spots H2AX - Relative Spot  Intensity - Mean per Well	Spots H2AX - Relative Spot  Intensity - StdDev per Well	Spots H2AX - Corrected Spot  Intensity - Mean per Well	Spots H2AX - Corrected Spot  Intensity - StdDev per Well	Spots H2AX - Uncorrected Spot  Peak Intensity - Mean per Well	Spots H2AX - Uncorrected Spot  Peak Intensity - StdDev per Well	Spots H2AX - Spot Contrast - Mean per Well	Spots H2AX - Spot Contrast - StdDev per Well	Spots H2AX - Spot Background Intensity - Mean per Well	Spots H2AX - Spot Background Intensity - StdDev per Well	Spots H2AX - Spot Area [px²] - Mean per Well	Spots H2AX - Spot Area [px²] - StdDev per Well	Spots H2AX - Region Intensity - Mean per Well	Spots H2AX - Region Intensity - StdDev per Well	Spots H2AX - Spot To Region Intensity - Mean per Well	Spots H2AX - Spot To Region Intensity - StdDev per Well	Spots H2AX - areaum2Spot Area [µm²] - Mean per Well	Spots H2AX - areaum2Spot Area [µm²] - StdDev per Well	Spots H2AX - areaum2Spot Roundness - Mean per Well	Spots H2AX - areaum2Spot Roundness - StdDev per Well	full nuclei - Number of Objects	full nuclei - Total Spot Area - Mean per Well	full nuclei - Total Spot Area - StdDev per Well	full nuclei - Relative Spot Intensity - Mean per Well	full nuclei - Relative Spot Intensity - StdDev per Well	full nuclei - Number of Spots - Mean per Well	full nuclei - Number of Spots - StdDev per Well	full nuclei - Number of Spots per Area of Nucleus - Mean per Well	full nuclei - Number of Spots per Area of Nucleus - StdDev per Well	full nuclei - areainum2n Area [µm²] - Mean per Well	full nuclei - areainum2n Area [µm²] - StdDev per Well	full nuclei - areainum2n Roundness - Mean per Well	full nuclei - areainum2n Roundness - StdDev per Well	full nuclei - areaum2Spot Area [µm²]- Sum per Cell  - Mean per Well	full nuclei - areaum2Spot Area [µm²]- Sum per Cell  - StdDev per Well	full nuclei - %areacoveredbyspots - Mean per Well	full nuclei - %areacoveredbyspots - StdDev per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	3	0	1925	0.0508281191059	0.0223363776817	90.7989594424	61.7538868838	2117.44987013	770.100765072	0.123378540698	0.038899242783	1645.54632883	583.897845836	26.5553246753	10.1825172705	1474.37712609	504.275261599	1.18138617908	0.154169484589	2.35510929418	0.903055841155	0.892330196515	0.0768220192002	449	113.85077951	162.00659297	0.00376375654999	0.00553464936289	4.28730512249	6.01856088176	0.00212002473542	0.0024888155951	161.197024028	74.4231265976	0.906048174046	0.0488893288648	10.097072141	14.3678617184	5.70011768616	6.8326894785	36	0					
2	4	0	4371	0.0495309181501	0.0183344481842	95.1463454759	52.3405009562	2297.87760238	707.543497465	0.121272412155	0.034041347503	1795.67865881	540.794852749	25.9444063143	10.1454354554	1601.82085132	464.712827993	1.18408122805	0.151811844162	2.30092884157	0.899767170112	0.896348615002	0.0785962108858	526	215.595057034	194.911099379	0.00658452033055	0.00548894672823	8.30988593156	7.79065234669	0.00393889293495	0.0030481180128	172.590261897	73.8710397755	0.899340992859	0.0482212815276	19.1204562101	17.286060227	10.3243715589	7.77761718143	36	0					
2	5	0	4548	0.0492588018244	0.0183095970713	105.061720136	64.1130484013	2536.90743184	866.292313829	0.118772661499	0.0340120858396	1994.29862199	673.407414695	27.3863236588	11.2060517021	1797.65563888	584.530859637	1.17270519501	0.15825595246	2.42880801386	0.993829931939	0.893022987195	0.0776439763955	547	227.702010969	199.025024784	0.00728805510476	0.00658795069267	8.31444241316	7.50529921518	0.0041256267131	0.00297245673475	166.713528154	67.1347404291	0.898510524774	0.0482680520684	20.1941843639	17.650911498	11.390136331	8.1962019717	36	0					
2	6	0	4349	0.049548161546	0.0183830056297	115.708695467	69.8749048566	2802.60910554	1007.30305869	0.118134729214	0.034115191545	2211.79922232	802.4154079	29.2262589101	12.8437764921	1987.02858008	701.392783877	1.17830349098	0.176477009378	2.59198615851	1.13907465861	0.889587858265	0.0784404630151	470	270.436170213	209.271747641	0.00864481509405	0.00655612053659	9.25319148936	7.5195367736	0.00458266712289	0.00302544531089	168.472267694	75.5327682249	0.906641481111	0.0475690411991	23.9841442625	18.5596615332	13.4895249325	8.65105998307	36	0					
2	7	0	3778	0.0476002032344	0.0182443858053	107.578879606	61.2937407239	2699.56193753	886.159259085	0.113245499781	0.0331544092545	2154.06511055	719.156211172	30.907623081	13.8717485029	1951.21105034	656.063516329	1.1680474741	0.143573543275	2.74110112638	1.23024230451	0.883167214292	0.0776940735995	483	241.757763975	179.83894742	0.00743372001469	0.00553980224774	7.82194616977	6.17495399056	0.00387145939845	0.00245172473937	172.353524389	74.5519156923	0.896342137996	0.0518579184813	21.4407454565	15.9493578671	11.9651717913	7.27735413531	36	0					
3	3	0	1664	0.0495720525639	0.0192322535696	103.875781556	75.111043724	2452.19170673	1138.24501214	0.120751788609	0.0352972957059	1913.35253901	860.201302539	26.7349759615	10.8445564376	1709.49550256	725.507031219	1.18211242952	0.181093857651	2.37104200895	0.961770039333	0.894961425086	0.0769005599452	297	149.787878788	199.032301096	0.00393559438202	0.00481714660262	5.60269360269	7.52857570723	0.00233805727698	0.00252767891138	181.624490401	79.2173899475	0.904340096498	0.0506906757429	13.2842218953	17.6515568114	6.30163317671	6.88454098672	36	0					
3	4	0	3793	0.0486700997268	0.0182586284202	93.7073790612	57.5695728185	2289.10941207	793.868834022	0.119209629409	0.034204730912	1796.02846133	613.303061867	26.239388347	10.2284897713	1618.79560726	560.447023716	1.17333089763	0.149224626762	2.32708988216	0.907132999512	0.894102473903	0.0772670707594	515	193.254368932	188.438234561	0.00553205602672	0.00514249924549	7.36504854369	7.32903331459	0.00332918493967	0.00283166397377	177.614191985	74.2481991168	0.90673406611	0.0529728228693	17.1391299476	16.7120019438	8.78198775466	7.34220307987	36	0					
3	5	0	3853	0.0494841446258	0.0188837749463	107.597813387	81.7747000054	2561.27459123	948.251952648	0.119066176391	0.0345402322899	2008.18032328	695.978485672	27.0256942642	10.740791611	1794.19631486	522.875340396	1.17815839634	0.158261214937	2.39682491257	0.952567459037	0.89281447745	0.0773490602845	462	225.38961039	240.315879752	0.0066310167935	0.00535581554668	8.33982683983	9.3167503838	0.00389728696887	0.00291331583114	172.484493217	81.4801103556	0.889668202118	0.0522155288727	19.9891047362	21.3128692216	10.5304091141	7.63062184704	36	0					
3	6	0	4078	0.0483958928202	0.0173255563222	108.901089112	57.0980591768	2699.98430603	957.625106572	0.116491431172	0.0332359314273	2137.61419402	769.509399186	28.5014713095	12.5088684868	1928.26215663	673.270453629	1.17140932659	0.149787025841	2.52770699659	1.10937270747	0.891302727804	0.0781024042396	447	260.020134228	198.265804389	0.00744375318977	0.00508343945767	9.12304250559	7.25082841443	0.00423876823513	0.00280937696934	180.022294394	75.9892791837	0.893775527151	0.0489634299034	23.0603783716	17.5835785984	12.0679546977	7.53773293493	36	0					
3	7	0	2687	0.0474257015597	0.0164783275918	111.916096547	55.0213877135	2824.59211016	997.42437835	0.112896819325	0.0315709707286	2255.64089816	818.679938521	29.8816524004	12.811514702	2053.83557746	724.741632356	1.15962758939	0.139364496741	2.65011097225	1.13621346061	0.887914345195	0.0795189424919	285	281.726315789	209.098304368	0.00755516517695	0.00456973414347	9.42807017544	7.26698482493	0.00431695805133	0.00255941627141	186.099024795	82.650956987	0.911596813806	0.0408499184537	24.985432219	18.5442793878	12.7660741411	6.98755848005	36	0					
