Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	19283e27-5448-4aa9-80bf-b3866b910171
Plate Name	0.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Timepoint	Spots H2AX - Number of Objects	Spots H2AX - Relative Spot  Intensity - Mean per Well	Spots H2AX - Relative Spot  Intensity - StdDev per Well	Spots H2AX - Corrected Spot  Intensity - Mean per Well	Spots H2AX - Corrected Spot  Intensity - StdDev per Well	Spots H2AX - Uncorrected Spot  Peak Intensity - Mean per Well	Spots H2AX - Uncorrected Spot  Peak Intensity - StdDev per Well	Spots H2AX - Spot Contrast - Mean per Well	Spots H2AX - Spot Contrast - StdDev per Well	Spots H2AX - Spot Background Intensity - Mean per Well	Spots H2AX - Spot Background Intensity - StdDev per Well	Spots H2AX - Spot Area [px²] - Mean per Well	Spots H2AX - Spot Area [px²] - StdDev per Well	Spots H2AX - Region Intensity - Mean per Well	Spots H2AX - Region Intensity - StdDev per Well	Spots H2AX - Spot To Region Intensity - Mean per Well	Spots H2AX - Spot To Region Intensity - StdDev per Well	Spots H2AX - areaum2Spot Area [µm²] - Mean per Well	Spots H2AX - areaum2Spot Area [µm²] - StdDev per Well	Spots H2AX - areaum2Spot Roundness - Mean per Well	Spots H2AX - areaum2Spot Roundness - StdDev per Well	full nuclei - Number of Objects	full nuclei - Total Spot Area - Mean per Well	full nuclei - Total Spot Area - StdDev per Well	full nuclei - Relative Spot Intensity - Mean per Well	full nuclei - Relative Spot Intensity - StdDev per Well	full nuclei - Number of Spots - Mean per Well	full nuclei - Number of Spots - StdDev per Well	full nuclei - Number of Spots per Area of Nucleus - Mean per Well	full nuclei - Number of Spots per Area of Nucleus - StdDev per Well	full nuclei - areainum2n Area [µm²] - Mean per Well	full nuclei - areainum2n Area [µm²] - StdDev per Well	full nuclei - areainum2n Roundness - Mean per Well	full nuclei - areainum2n Roundness - StdDev per Well	full nuclei - areaum2Spot Area [µm²]- Sum per Cell  - Mean per Well	full nuclei - areaum2Spot Area [µm²]- Sum per Cell  - StdDev per Well	full nuclei - %areacoveredbyspots - Mean per Well	full nuclei - %areacoveredbyspots - StdDev per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	3	0	2210	0.053002128689	0.0238085554289	102.806737567	79.6497045694	2315.46108597	883.055280238	0.129099184367	0.0413810086375	1777.6053349	654.209944268	26.3809954751	11.4702204977	1586.68931148	558.122221082	1.19199842646	0.184872328993	2.33964857868	1.01725824221	0.894266159105	0.0756152116976	355	164.230985915	190.907460198	0.00572120517742	0.00662749754187	6.22535211268	7.44698244561	0.00295240806545	0.00266591024177	163.766222649	67.280528073	0.899077551052	0.0568793877215	14.5651362222	16.9309898989	7.87532917223	6.97071846541	36	0					
2	4	0	2271	0.0509525732115	0.0195254339976	113.081778181	69.4860099092	2657.51827389	1106.74726908	0.122718113087	0.035998710828	2073.6188398	878.063980734	26.7410832232	12.4737213983	1858.40469314	772.440701111	1.18136922985	0.149734550241	2.37158364303	1.10625562132	0.898153739499	0.0764472032626	224	271.111607143	218.303345638	0.00898228667433	0.00610751359436	10.1383928571	8.10710528795	0.00511694127259	0.00324542806262	167.084922622	74.4167410417	0.894726238732	0.0539443813793	24.0440466666	19.3606459174	13.5917272432	8.39074553943	36	0					
2	5	0	1746	0.0512005478272	0.0204124527077	117.299150075	70.7254706585	2766.01832761	1079.09179138	0.122410312229	0.0371658032285	2163.47729898	867.205328725	28.167812142	12.399783505	1945.53143754	782.147184314	1.17786126418	0.1511583124	2.49811580101	1.09969829913	0.891961913286	0.0779251979598	167	294.497005988	185.715771766	0.0107280136169	0.00671386572508	10.4550898204	6.52954968726	0.00572940642063	0.00314820902071	158.136699876	55.2002031355	0.902907795837	0.0551662159688	26.1180250812	16.4705551715	15.9993478574	8.68786829605	36	0					
2	6	0	2176	0.0497071028971	0.0188078467565	136.791557127	80.1506969131	3331.89154412	1506.64330575	0.119385232971	0.0350561944947	2629.35647035	1224.16251086	30.5496323529	14.8372727256	2375.16509714	1118.9270075	1.17465286744	0.164152542426	2.70935204023	1.31587164998	0.885474903504	0.0787541195586	191	348.041884817	205.344276571	0.0119260839548	0.00575226008618	11.3926701571	7.11098103315	0.00611893196666	0.00254833552556	163.014871145	71.7668126153	0.898226277287	0.0536369658391	30.8667541337	18.2113463184	18.5910452724	7.82842981442	36	0					
2	7	0	2389	0.0511304369338	0.0193942240319	154.314147505	81.6341940781	3643.93344496	1335.9216112	0.119753291581	0.0358371056645	2870.33608362	1080.31562357	31.602344077	15.3807106195	2567.52373228	932.27622704	1.18413674813	0.169181266326	2.80271377449	1.36406746947	0.883453811617	0.0817132316885	187	403.732620321	168.984357471	0.0150468920652	0.00608312144859	12.7754010695	5.68745405035	0.00735554368021	0.0027360308409	161.109941595	66.0574214593	0.899426827692	0.0409479088907	35.8057925522	14.9866979868	22.8004025915	7.16225936723	36	0					
3	3	0	243	0.0420741138646	0.0132530490913	62.3778734078	29.5103788928	1723.15226337	416.497484273	0.103826419296	0.0241456289865	1397.52421909	334.101683814	28.9711934156	9.50832570229	1283.15372002	296.436990231	1.1398294697	0.094807533441	2.56936519176	0.843263884261	0.885788731175	0.088857169304	203	34.6798029557	83.1275468512	0.000841579741737	0.00163449834978	1.19704433498	2.7773110318	0.000564877576512	0.0010014917649	162.384394308	66.6488205006	0.912551107171	0.041125707851	3.07564404728	7.37232402861	1.64918079422	2.96901602277	36	0					
3	4	0	448	0.0414992130181	0.0121562925713	66.5493359135	79.6234329308	1895.08482143	2687.57394686	0.101297847569	0.0260552060441	1551.44681735	2342.75847692	30.0022321429	11.3706122415	1413.69598315	1953.24579276	1.13810867864	0.102808010704	2.66080481522	1.00842429524	0.884451924109	0.0712617059266	222	60.545045045	87.6785843913	0.00144089037027	0.0020821301238	2.01801801802	2.93514198931	0.000971680627215	0.00129889694372	172.613860698	73.0072811642	0.894329489351	0.0554455388274	5.36955205953	7.77594141758	2.89316697704	3.80323630088	36	0					
3	5	0	894	0.0406848258423	0.0106585379735	65.5612890462	22.975801833	1879.52908277	357.721648756	0.0998732413675	0.0228793850094	1535.88231049	278.527722118	29.8501118568	11.2392247757	1414.54817585	231.824195168	1.1328008461	0.097957713543	2.64731373936	0.99677194884	0.887265122832	0.0755981885822	373	71.5442359249	103.248688712	0.00160869680555	0.00224362547383	2.39678284182	3.6238739962	0.00110274888453	0.00142227352918	177.651263703	87.36748213	0.901281717592	0.0505722806892	6.34503614743	9.15680562636	3.37265552068	4.504806152	36	0					
3	6	0	972	0.0437743769276	0.0156577853729	79.5265056229	45.3364060111	2110.17386831	553.781651023	0.104425287224	0.0282490381	1707.2789428	423.437026426	30.8796296296	12.4276243187	1567.31992351	375.935956369	1.14267554669	0.118720397353	2.7386184741	1.10216741446	0.886646877671	0.0778983957427	222	135.202702703	130.138907312	0.00379983180195	0.00361993750214	4.37837837838	4.34184950073	0.00228013543358	0.00184957920676	167.580679655	73.2824813431	0.888988015937	0.0655146131397	11.9907079136	11.5416156229	7.05068113672	5.81185955538	36	0					
3	7	0	639	0.0398481905209	0.0130485640897	67.2876594969	29.8487429542	1947.33333333	399.1680494	0.0956938412651	0.0238977486503	1605.5284021	321.003660429	33.1643192488	13.4539587862	1489.68210995	288.985560406	1.12509563518	0.0933668935221	2.94124050272	1.19318983173	0.878036765149	0.0830839399331	294	72.0816326531	75.7367012807	0.00197771641742	0.00282082877884	2.17346938776	2.24152028281	0.00120188953786	0.00130253289462	169.86345816	76.500441437	0.907694182831	0.0590714179148	6.39269619469	6.7168528827	3.98417944138	4.61254766266	36	0					
