Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	cbd6da7f-0b6b-46a4-8ec6-6bf1188546e6
Plate Name	Recconst.cleavedcasp3 rep1
Measurement	Measurement 1
Evaluation	Evaluation7

[Data]
Row	Column	Timepoint	Nuclei Selected - Number of Objects	Nuclei Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Nuclei Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Nuclei Selected - Cyto Selected - Mean per Well	Nuclei Selected - Cyto Selected - StdDev per Well	Spots - Number of Objects	Spots - Relative Spot Intensity - Mean per Well	Spots - Corrected Spot Intensity - Mean per Well	Spots - Uncorrected Spot Peak Intensity - Mean per Well	Spots - Spot Contrast - Mean per Well	Spots - Spot Background Intensity - Mean per Well	Spots - Spot Area [px²] - Mean per Well	Spots - Region Intensity - Mean per Well	Spots - Spot to Region Intensity - Mean per Well	Cyto Selected - Number of Objects	Cyto Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Cyto Selected - Total Spot Area - Mean per Well	Cyto Selected - Relative Spot Intensity - Mean per Well	Cyto Selected - Number of Spots - Mean per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cyto Selected - Spots Area [µm²] - Mean per Well	Cyto Selected - Formula - Mean per Well	Number of Analyzed Fields	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
3	2	0	5006	151.677987652	51.5091080795	0.924091090691	0.264878768742	1665	0.101895418913	429.700793675	4277.61321321	0.102242523343	3410.5609345	20.618018018	3377.24480326	1.13607064982	4626	150.929134045	371.723621786	3371.36433775	3274.99999847	7.42088197147	0.00129787564397	0.359922178988	0.00039227807099	2.65530023116	0.0223409561098	25	0	0	37	1	5					
3	3	0	6532	150.100090529	49.9176230465	0.923913043478	0.265157491446	1684	0.102095103469	422.622023959	4244.43111639	0.102565918235	3385.34301115	19.0344418052	3335.37982292	1.14023729792	6035	149.840727971	364.378870721	3377.65508246	3285.9787359	5.31135045568	0.00110645535685	0.279038939519	0.00032355052101	1.90028929173	0.0172526180069	25	0	0	37	0	5					
3	4	0	4327	263.337047132	90.5734861072	0.902935058932	0.296080391034	1211	0.10684671146	471.799653564	4412.74814203	0.108626407554	3459.47855121	24.0693641618	3439.58172748	1.13917505357	3907	262.246009332	607.86938407	3390.38515242	3315.64948903	7.46045559253	0.00110674777178	0.309956488354	0.000233338981775	2.669327192	0.0159524419785	25	0	0	37	0	5					
3	5	0	3770	247.687843313	84.1072427993	0.916180371353	0.277153880795	982	0.101528794928	419.712503125	4319.77698574	0.103341316939	3430.59056803	19.2881873727	3393.18649401	1.13435757468	3454	246.194881241	587.272700017	3423.99055271	3334.73537934	5.48378691372	0.00072197103714	0.284308048639	0.000229644014315	1.96235074438	0.0123543427162	25	0	0	37	0	5					
3	6	0	3719	243.931599807	79.6924983503	0.907233127185	0.290144474816	818	0.113072524842	527.856492154	4558.02444988	0.113530346583	3507.82303338	21.869193154	3483.98213476	1.15450904036	3374	242.555045808	550.347820037	3490.36446695	3394.42138857	5.30201541197	0.000953708349104	0.242442205098	0.000197070381266	1.89698637553	0.0120507169176	25	0	0	37	0	5					
3	7	0	11847	155.412598573	64.7063101633	0.937790157846	0.241546481125	12995	0.0975237896221	411.770652213	4356.24647942	0.096863196687	3542.40799235	24.4169295883	3537.17776758	1.11649475564	11110	155.345227642	272.995430439	3514.81873943	3453.20730887	28.5596759676	0.00568787674342	1.1696669667	0.00167417439294	10.2188682533	0.112425565412	25	0	0	37	0	5					
3	8	0	10927	158.991755363	69.5342159646	0.933742106708	0.248743738223	12968	0.0981309770613	402.573972631	4302.80929981	0.0970781411572	3509.4477086	24.3005089451	3492.95448216	1.11936522063	10203	158.833747955	297.227384959	3532.40765372	3455.24367101	30.8859159071	0.00568236171186	1.27099872586	0.00162188615058	11.0513115792	0.109806888602	25	0	0	37	0	5					
3	9	0	7465	260.851743597	95.0521974715	0.919223040857	0.272510531975	10535	0.0955863280304	409.775268481	4377.0766018	0.0944315724812	3572.46139185	24.2507831039	3565.95563028	1.11519030473	6862	260.721412455	436.987799351	3591.41894359	3491.14990016	37.2314194113	0.00496605580658	1.5352666861	0.00138166714089	13.3219640599	0.0962201067554	25	0	0	37	0	5					
3	10	0	6906	262.792277524	92.3561343191	0.919490298291	0.272100368523	9475	0.0939036820603	380.857693763	4255.32802111	0.093218771345	3500.90205005	24.0698680739	3480.600596	1.11488195702	6350	262.73548608	463.1355663	3511.93005907	3414.21756273	35.9152755906	0.00428125538808	1.49212598425	0.00125874394912	12.8510639268	0.0864226776181	25	0	0	37	0	5					
3	11	0	6666	265.860189039	94.7686528507	0.913141314131	0.281648991958	9483	0.0946603309308	376.280833877	4187.81429927	0.0940382572753	3441.55547724	23.9951492144	3409.65800248	1.11917833886	6087	264.875876495	479.724341497	3445.975868	3351.88637938	37.3822901265	0.00448281099584	1.55791030064	0.0012770260094	13.3759828229	0.0877284705079	25	0	0	37	0	5					
