Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	149f8699-ef32-4688-958a-7871782cfc72
Plate Name	MDAWT24H-1
Measurement	Measurement 2
Evaluation	Evaluation1
Population	Population - Cyto Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cyto Selected - Object No in Nuclei	Cyto Selected - nuclear_areainum2n Area [µm²]	Cyto Selected - Object No in Nuclei Selected	Cyto Selected - Cytoplasm_areaum2 Area [µm²]	Cyto Selected - Intensity Nucleus Alexa 488 Mean	Cyto Selected - Intensity Nucleus Alexa 555 Mean	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean	Cyto Selected - Total Spot Area	Cyto Selected - Relative Spot Intensity	Cyto Selected - Number of Spots	Cyto Selected - Number of Spots per Area of Cytoplasm	Cyto Selected - Spots Area [µm²]	Cyto Selected - Formula	
5	3	0	7	1	582	607	[563,596,614,617]	1321.4	1250.53					1	54.4292	1	169.375	7637.93	1893.16	4104.58	1755.57	77	0.022417	5	0.0105708	24.708	0.454612	
5	3	0	7	2	505	940	[488,912,523,970]	1271.9	1051.49					2	90.9541	2	411.442	7886.03	2012.87	4947.98	1929.5	34	0.00327093	1	0.000870322	12.175	0.0826362	
5	3	0	7	3	602	929	[576,906,625,970]	1327.09	1053.65					3	100.264	3	569	9017.76	2001.08	4343.22	1781.89	116	0.0169787	1	0.000629327	41.5381	0.203866	
5	3	0	7	4	586	631	[559,612,616,645]	1320	1239.28					6	171.882	4	276.443	8684.37	1979.22	4220.27	1744.87	49	0.0101147	2	0.00259067	20.411	0.177252	
5	3	0	7	5	549	901	[493,851,595,982]	1296.55	1070.03					7	1168.08	5	1150.53	5650.38	1812.27	3942.92	1825.31	0	0	0	0	0	0	
5	3	0	2	1	550	38	[532,17,573,67]	-1283.49	2236.2					4	142.877	2	380.647	6797.95	1965.08	3987.94	1856.8	208	0.0774091	6	0.0056444	74.4821	0.546439	
5	3	0	2	2	390	57	[365,39,411,85]	-1383.01	2224.17					5	113.514	3	358.445	8130.17	2293.47	3911.24	1704.44	35	0.0113223	1	0.000999001	12.5331	0.0976439	
5	3	0	2	3	503	89	[484,72,526,107]	-1312.08	2206.73					6	140.012	4	253.884	6899.77	1787.3	3062.09	1698.02	23	0.00309736	2	0.00282087	8.236	0.0905926	
5	3	0	2	4	382	132	[361,113,407,151]	-1384.57	2180.82					7	126.405	5	363.1	7471.88	1927.14	4046.7	1749.16	148	0.0260816	4	0.00394477	52.9969	0.407601	
5	3	0	2	5	816	135	[797,102,833,159]	-1126.1	2180.76					8	205.542	6	266.775	7304.37	2062.32	3396.54	1712.24	59	0.0152339	2	0.00268456	21.1271	0.22116	
5	3	0	2	6	715	143	[700,123,730,173]	-1186.48	2172.86					9	84.8667	7	241.709	8889.84	2070.81	3818.04	1788.83	134	0.0420694	5	0.00740741	47.9837	0.554386	
5	3	0	2	7	518	171	[476,155,536,189]	-1309.48	2156.88					10	150.755	8	275.011	6731.22	1793.58	3093.49	1657.83	27	0.00345434	2	0.00260417	9.66835	0.0981779	
5	3	0	2	8	440	207	[416,187,459,227]	-1351.59	2136.74					11	149.322	9	311.178	9587.88	2446.22	4781.59	1908.79	0	0	0	0	0	0	
5	3	0	2	9	614	207	[593,185,633,239]	-1246.02	2133.39					12	123.54	10	344.48	8527.48	2299.38	4056.02	1784.54	72	0.0430416	1	0.0010395	25.7823	0.209011	
5	3	0	2	10	67	287	[41,245,98,339]	-1571.47	2089.68					13	151.113	11	740.166	11401.7	3511.16	5871.79	3337.13	205	0.0133377	4	0.00193517	73.4079	0.276965	
5	3	0	2	11	124	304	[94,270,178,331]	-1532.87	2080.57					14	113.156	12	1177.39	10348.9	4992.13	8316.38	5265.33	0	0	0	0	0	0	
5	3	0	2	12	784	383	[768,367,800,406]	-1144.8	2029.55					15	85.9409	13	240.276	7272.91	2089.43	3669.61	1813.12	68	0.0453233	1	0.00149031	24.3499	0.283007	
5	3	0	2	13	160	348	[111,320,198,403]	-1522.28	2047.46					16	143.235	14	1440.58	12338.7	3624.34	7450.36	4510.75	24	0.000391872	1	0.000248571	8.59409	0.0166599	
5	3	0	2	14	359	457	[340,430,393,477]	-1395.57	1987.63					19	246.364	16	436.15	12622.4	2165.68	6091.4	2025.61	282	0.0522467	4	0.00328407	94.1769	0.646566	
5	3	0	2	15	323	461	[306,431,342,491]	-1420.82	1984.25					20	118.527	17	423.975	6340.6	1875.85	3595.29	1741.15	111	0.0288254	2	0.00168919	46.5513	0.261808	
