Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	ec26b9de-4fa4-4782-9f21-bfde738eb120
Plate Name	CD_4percent_formaldehide_070524
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - Total Spot Area (2)	full nuclei - Relative Spot Intensity (2)	full nuclei - Number of Spots (2)	full nuclei - Number of Spots per Area of Nucleus (2)	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - areaum2RPA Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyRPAspots	full nuclei - %areacoveredbyspots	
2	3	0	1	35	63	1001	[14,966,111,1038]	-89.55	-86.91					43	0	0	0	0	50	0.000467897	1	0.00020247	174.653	0.899774	0	1.7681	0.0101235	0	
2	3	0	1	36	879	1008	[850,978,910,1037]	63.92	-88.17					45	235	0.0202871	19	0.00682471	0	0	0	0	98.4476	0.996141	8.31006	0	0	8.44109	
2	3	0	1	37	432	1021	[409,978,466,1061]	-19.52	-90.61					46	0	0	0	0	0	0	0	0	114.856	0.670199	0	0	0	0	
2	3	0	1	38	235	1036	[199,972,272,1074]	-56.82	-91.6					48	12	0.00012652	1	0.000169549	0	0	0	0	208.565	0.836733	0.424343	0	0	0.203459	
2	3	0	1	39	363	46	[281,11,405,97]	-36.6	91.68					52	158	0.00777756	8	0.00115357	0	0	0	0	245.235	0.794612	5.58719	0	0	2.2783	
2	3	0	1	40	781	83	[704,24,832,149]	42.82	84.85					53	428	0.00474986	18	0.00167973	0	0	0	0	378.939	0.790587	15.1349	0	0	3.99403	
2	3	0	1	41	886	67	[834,23,970,112]	68.06	89.14					54	259	0.0171645	17	0.00198923	0	0	0	0	302.203	0.886186	9.15874	0	0	3.03066	
2	3	0	1	42	373	118	[302,77,413,161]	-34	79.11					55	1327	0.0718464	56	0.00778535	0	0	0	0	254.358	0.911854	46.9253	0	0	18.4485	
2	3	0	1	43	109	156	[66,111,153,246]	-80.27	68.65					56	28	0.00162443	1	0.000118737	0	0	0	0	297.818	0.786266	0.990134	0	0	0.332463	
2	3	0	1	44	529	169	[439,112,585,225]	-3.79	70.87					57	88	0.000644076	8	0.000697107	0	0	0	0	405.814	0.833764	3.11185	0	0	0.766818	
2	3	0	1	45	905	192	[861,152,947,242]	68.53	64.37					58	791	0.019212	38	0.00654721	0	0	0	0	205.241	0.934801	27.9713	0	0	13.6285	
2	3	0	1	46	400	203	[351,166,448,241]	-26.24	63					59	245	0.0285901	13	0.00226166	0	0	0	0	203.26	0.980488	8.66368	0	0	4.26235	
2	3	0	1	47	816	224	[775,188,861,261]	52.17	59.44					61	0	0	0	0	0	0	0	0	166.625	0.926646	0	0	0	0	
2	3	0	1	48	353	301	[289,247,411,356]	-35.66	44.89					62	804	0.0305923	50	0.00475511	0	0	0	0	371.831	0.985937	28.431	0	0	7.64622	
