Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	aab27699-70a6-4524-a70b-6866ab2f82d3
Plate Name	24h.24heto.2
Measurement	Measurement 1
Evaluation	Evaluation5

[Data]
Row	Column	Timepoint	Nuclei Selected - Number of Objects	Nuclei Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Nuclei Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Nuclei Selected - Cyto Selected - Mean per Well	Nuclei Selected - Cyto Selected - StdDev per Well	Spots - Number of Objects	Spots - Relative Spot Intensity - Mean per Well	Spots - Corrected Spot Intensity - Mean per Well	Spots - Uncorrected Spot Peak Intensity - Mean per Well	Spots - Spot Contrast - Mean per Well	Spots - Spot Background Intensity - Mean per Well	Spots - Spot Area [px²] - Mean per Well	Spots - Region Intensity - Mean per Well	Spots - Spot to Region Intensity - Mean per Well	Cyto Selected - Number of Objects	Cyto Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 647  Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 647 Mean - Mean per Well	Cyto Selected - Total Spot Area - Mean per Well	Cyto Selected - Relative Spot Intensity - Mean per Well	Cyto Selected - Number of Spots - Mean per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cyto Selected - Spots Area [µm²] - Mean per Well	Cyto Selected - Formula - Mean per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
5	2	0	996	178.21967794	55.1074650789	0.908634538153	0.288272872844	8161	0.0525920689721	193.109886983	3737.32581791	0.0369034267209	3469.46111298	4.13172405342	3457.95295021	1.05917612561	905	178.477341668	585.808413299	3487.26895047	27542.7758284	3441.37359355	19951.9911561	37.2585635359	0.00157012813735	9.01767955801	0.00573852655989	13.3376603657	0.0686068275966	9	0					
5	3	0	3168	169.282892573	53.0828119519	0.917297979798	0.275474772132	18352	0.0522090479069	195.384074954	3781.20041412	0.0363271864915	3512.34230408	3.95962292938	3504.6512066	1.05781964052	2906	169.681941707	410.848305945	3526.47737548	21242.1862408	3487.15609318	13468.2490699	25.0058499656	0.0016058320574	6.31520991053	0.00569001075365	8.95162893976	0.065361175623	9	0					
5	4	0	1263	184.663967791	57.8998532679	0.89152810768	0.31109864971	10391	0.052012497262	201.703208221	3887.88740256	0.0363838179531	3608.33195332	4.12616687518	3603.82297731	1.05694285194	1126	183.788458253	574.970852604	3638.90866379	22603.670613	3593.74885403	16948.0701496	38.0772646536	0.00217893998048	9.22824156306	0.00591951515246	13.6311397284	0.0733971791279	9	0					
6	2	0	2110	183.23232719	88.0054903612	0.917535545024	0.275136230608	16607	0.0567469640336	213.157985947	3792.52477871	0.042783006527	3471.60283009	6.59113626784	3458.87679816	1.06524890649	1936	183.424718369	493.750038747	3476.25183506	28206.7051109	3440.32295472	3393.94293888	56.5387396694	0.00420922010815	8.57799586777	0.00632316633	20.2399102623	0.120949468766	9	0					
6	3	0	3113	176.009670782	72.822547912	0.926758753614	0.260573938794	22578	0.0577588533669	220.500132354	3855.71432368	0.0442656046763	3517.93105513	7.27832403224	3510.39036743	1.06485883828	2885	175.743734611	428.537044117	3515.19107954	25158.39909	3492.45540534	3325.32489759	56.9601386482	0.00513866368237	7.8259965338	0.0066573064899	20.389337131	0.140783074845	9	0					
6	4	0	2287	182.081044762	81.2695438159	0.919108001749	0.272728814513	18313	0.0557826821874	215.906501163	3911.70469066	0.0418585251491	3588.84953791	6.54786217441	3579.59299182	1.06284671312	2102	181.724209119	495.913744221	3587.90694385	24580.431117	3562.23337999	3086.52402095	57.0461465271	0.00432491414548	8.71217887726	0.00647655604187	20.4205477324	0.123470396924	9	0					
7	2	0	2307	169.148457116	54.8276952818	0.916341569137	0.276934904606	15497	0.0531364650927	196.456588195	3714.79157256	0.0371307201797	3443.17145431	4.18706846486	3431.05838604	1.06058440213	2114	168.615450065	487.868460251	3450.54495358	19526.9647145	3411.36731589	10206.5224076	30.6939451277	0.00187445689897	7.33065279092	0.00558861475292	10.9880123653	0.0674925066655	9	0					
7	3	0	1421	177.725216732	61.3851460071	0.923293455313	0.266218943344	11377	0.052619674516	191.833021614	3697.99419882	0.0365176236928	3435.39190334	3.98971609387	3420.06686605	1.06050800394	1312	177.926293707	587.553773875	3450.7324015	19118.3502414	3406.66091187	10272.1443999	34.5967987805	0.00160498466867	8.67149390244	0.00545704502494	12.3849077142	0.0628499298258	9	0					
7	4	0	279	175.064290667	47.9543019227	0.94623655914	0.225955591765	2880	0.0527141306696	216.480320381	3842.59930556	0.0372130871451	3529.56823066	4.18194444444	3507.58134603	1.06479104036	264	174.922420071	650.511310009	3553.73611626	21936.4430097	3511.73267778	12814.7577794	45.6212121212	0.00347794194112	10.9090909091	0.00616475022473	16.3317696967	0.0753290090471	9	0					
