Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	65935749-3351-4568-98c5-2890f5477697
Plate Name	MDAWT2H-2
Measurement	Measurement 1
Evaluation	Evaluation4
Population	Population - Cyto Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cyto Selected - Object No in Nuclei	Cyto Selected - nuclear_areainum2n Area [µm²]	Cyto Selected - Object No in Nuclei Selected	Cyto Selected - Cytoplasm_areaum2 Area [µm²]	Cyto Selected - Intensity Nucleus Alexa 488 Mean	Cyto Selected - Intensity Nucleus Alexa 555 Mean	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean	Cyto Selected - Total Spot Area	Cyto Selected - Relative Spot Intensity	Cyto Selected - Number of Spots	Cyto Selected - Number of Spots per Area of Cytoplasm	Cyto Selected - Spots Area [µm²]	Cyto Selected - Formula	
5	3	0	4	22	374	197	[358,180,390,213]	547.29	204.91					27	132.464	23	156.809	6530.55	2312.83	3197.92	1812.15	0	0	0	0	0	0	
5	3	0	4	23	414	200	[390,172,435,229]	570.38	201.32					28	154.302	24	389.873	4569.48	2046.05	3161.81	1935.25	169	0.0514542	7	0.00642792	60.5037	0.433474	
5	3	0	4	24	528	258	[500,234,552,298]	639.11	165.41					29	268.15	25	514.819	6568.68	2044.37	3761.64	1981.85	178	0.0194508	6	0.00417246	63.7258	0.345753	
5	3	0	4	25	1047	297	[1023,267,1069,329]	950.17	144.87					30	177.573	26	448.945	4714.96	2152.32	3343.42	1972.99	175	0.0324005	5	0.00398724	62.6518	0.389803	
5	3	0	4	26	980	300	[952,267,1009,333]	910.08	143.17					31	450.377	27	508.017	6111.29	2014.69	3687.59	2078.37	355	0.0403448	13	0.00916138	127.094	0.698796	
5	3	0	4	27	607	308	[588,291,629,341]	688.9	133.4					32	146.426	28	245.953	5132.38	2183.74	3633.99	2019.99	130	0.0480506	5	0.00727802	49.4054	0.528556	
5	3	0	4	28	541	325	[517,305,563,346]	646.46	128.36					33	202.634	29	294.642	6373.12	2201.04	3050.21	1848.96	6	0.000806213	1	0.00121507	2.14806	0.0203637	
5	3	0	4	29	1021	324	[998,298,1041,363]	933.35	124.51					34	237.719	30	422.452	6152.66	2078.64	3505.38	1937.94	179	0.0238496	8	0.00677966	64.0838	0.423717	
5	3	0	4	30	888	337	[865,315,910,367]	855.17	118.79					35	185.091	31	377.701	4904.96	2223.87	2864.4	1832.3	79	0.0154076	4	0.00379147	28.2828	0.20916	
5	3	0	4	31	494	355	[468,328,529,380]	620.97	110.73					36	217.67	32	545.25	6260.38	2282.51	3252.89	1879.25	178	0.031814	6	0.00393959	63.7258	0.326456	
5	3	0	4	32	1027	404	[1005,373,1045,430]	936.8	81.69					37	244.521	33	218.028	4734.37	1971.39	2881.41	1852.1	0	0	0	0	0	0	
5	3	0	4	33	593	414	[572,383,614,440]	677.61	76.47					38	191.894	34	419.588	5943.01	2139.72	3553.43	2000.33	189	0.0876373	4	0.00341297	67.664	0.450442	
5	3	0	4	34	662	450	[637,427,684,479]	718.61	51.11					39	181.153	35	453.241	5381.38	2396.93	3497.18	2087.38	181	0.0718385	7	0.00552923	64.7999	0.399346	
5	3	0	4	35	864	487	[839,469,885,510]	838.73	29.38					40	144.278	36	249.891	6554.79	2373.06	3188.42	1901.07	71	0.0330382	2	0.00286533	25.4187	0.284124	
5	3	0	4	36	700	569	[680,549,721,638]	744.08	-28.24					41	282.112	37	494.412	5839.34	2051.95	3432.61	2070.73	248	0.0702897	8	0.0057929	88.7866	0.501606	
5	3	0	4	37	1053	598	[1032,577,1075,617]	953.13	-34.66					42	146.784	38	262.78	5497.13	2177.31	3898.1	2040.88	165	0.102298	4	0.00544959	59.0717	0.627903	
5	3	0	4	38	845	608	[828,588,864,633]	828.2	-42.61					43	155.376	39	281.038	5317.55	1989.02	3057.01	1825.39	0	0	0	0	0	0	
5	3	0	4	39	905	625	[861,592,947,652]	863.54	-49.11					44	266.36	40	720.317	6119.1	2309.16	3400.78	1975.02	201	0.020474	7	0.00347913	71.9601	0.279044	
5	3	0	4	40	872	650	[845,626,908,673]	845.94	-66.57					45	265.644	41	501.214	8595.19	2433.4	4240.11	2111.89	262	0.0346225	8	0.00571429	93.7987	0.52273	
5	3	0	4	41	91	744	[69,721,121,768]	379.54	-122.99					46	169.339	42	456.105	4745.11	2056.31	2892.33	1839.68	84	0.0116153	5	0.00392465	30.0729	0.184168	
5	3	0	4	42	646	799	[622,771,672,826]	708.09	-154.44					47	317.913	43	326.505	5856.92	2065.55	3817.8	1993.52	37	0.0089118	3	0.00328947	12.5304	0.113321	
5	3	0	4	43	601	804	[571,766,629,836]	683.29	-158.59					48	392.379	44	590.717	5476.37	2073.39	4158.63	2118.04	325	0.0448408	10	0.00606061	116.353	0.550179	
5	3	0	4	44	679	811	[651,784,711,833]	730.37	-163.77					49	232.349	45	362.306	7319	2084.89	3732.13	2058.98	239	0.0668985	10	0.00988142	86.2805	0.659663	
