target_gene_name,interactor_gene_name,target_ensg_id,interactor_ensg_id,interactor_uniprot_ids,pval,enrichment,interaction_stoichiometry,abundance_stoichiometry,category
PARP1,CLPB,ENSG00000143799,ENSG00000162129,Q9H078-2;Q9H078-5;Q9H078-3;Q9H078;A0A2R8Y602;A0A2U3TZY2;H0YGM0;Q9H078-4;A0A2R8YDH5;F5H7A5;A0A2R8Y6R5;F5H392,3.43592567136176,1.93318321665522,0.00377108407967729,0.171668012381519,other
PARP1,CTCF,ENSG00000143799,"",P49711;A0A2R8Y595;A0A2R8YFL0;P49711-2;A0A2R8Y6Z6;A0A2R8Y6C1,7.18574535304839,2.924640368394,0.000303857127486077,0.0314559625319323,other
PARP1,DLX5;DLX2,ENSG00000143799,ENSG00000105880,P56178;Q07687,7.88365122753061,4.32195659167578,0.000511852290244469,0.00538932185869852,other
PARP1,DNTTIP1,ENSG00000143799,ENSG00000101457,H7C1J2;Q9H147;F2Z2A4;H7C1M5,7.03300118766041,2.48900592809235,0.000309121154491554,0.0415030793618758,other
PARP1,DPF2,ENSG00000143799,ENSG00000133884,Q92785;J3KMZ8;Q92785-2,15.5960850263076,3.71800773698699,0.000208794192898823,0.0265547946639536,other
PARP1,DR1,ENSG00000143799,ENSG00000117505,Q01658,9.9382170348929,3.00309557729853,0.00104855408882425,0.144961657732157,other
PARP1,EP400,ENSG00000143799,ENSG00000183495,Q96L91-4;Q96L91-3;Q96L91-5;Q96L91-2;Q96L91;A0A0A0MR70,4.67314140461062,2.64033429183487,6.04059458552411e-05,0.00544006466501598,other
PARP1,FEN1,ENSG00000143799,ENSG00000168496,P39748;P39748-2;I3L3E9;F5H1Y3,19.2181656117969,4.47257267764195,0.000830511826200408,0.446494983715623,other
PARP1,GATAD2A,ENSG00000143799,ENSG00000167491,Q86YP4-2;Q86YP4;Q86YP4-3,20.7802596951223,4.78942460877567,0.000740669860752726,0.0389749620049627,other
PARP1,GLO1,ENSG00000143799,ENSG00000124767,Q04760-2;Q04760,8.71920125754933,2.7265903248138,0.00046827792773653,2.08829699431877,metabolic
PARP1,GLUD1;GLUD2,ENSG00000143799,ENSG00000148672,P00367;P00367-2;P00367-3;P49448,7.48981651608532,2.82052223423415,0.0168687772681508,0.620437991297867,other
PARP1,H1F0,ENSG00000143799,ENSG00000189060,P07305;P07305-2,4.87764287739484,2.20220473251513,0.00327709017685525,0.0877768477826171,other
PARP1,H2AFJ,ENSG00000143799,"",Q9BTM1;Q9BTM1-2,4.90018602639976,2.07499040175573,0.0134008438144247,12.3413383334535,other
PARP1,H2AFY,ENSG00000143799,ENSG00000113648,O75367-2;O75367-3;O75367;B4DJC3;D6RCF2,20.9086555277089,4.75943956527616,0.0548106811244466,1.08499517502137,other
PARP1,H2AFY2,ENSG00000143799,ENSG00000099284,Q9P0M6;Q5SQT3,50.2767005326616,7.39731676394235,0.00207440260115621,0.141615729399089,other
PARP1,H2AFZ;H2AFV,ENSG00000143799,"",P0C0S5;A0A494C189;Q71UI9;C9J0D1;Q71UI9-3;Q71UI9-4;Q71UI9-2;C9J386;Q71UI9-5,14.525733223371,3.96897319941606,0.415986128202259,9.19211198987155,other
PARP1,HIST1H1D,ENSG00000143799,ENSG00000124575,P16402,3.49231036269114,1.95708302566434,0.00448493359755805,0.0488152531139141,other
PARP1,HIST1H2AC,ENSG00000143799,ENSG00000180573,Q93077,6.49655266701505,2.60306056336691,0.0736771450945295,0.0385396283564508,other
PARP1,HIST1H2AJ;HIST1H2AH;HIST1H2AG;H2AFJ,ENSG00000143799,"",Q99878;Q96KK5;P0C0S8;H0YFX9,21.4219942458735,4.84749157234094,1.74376141999478,37.0240150003605,other
PARP1,HIST1H2BN;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;HIST1H2BK;H2BFS,ENSG00000143799,ENSG00000158373,U3KQK0;Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;O60814;Q5QNW6-2;P57053,20.0179384127664,4.64364874206215,0.827336391095202,29.3086575100004,other
PARP1,HIST1H4A,ENSG00000143799,ENSG00000197837,P62805,15.6781209167072,4.19885672299147,0.498131315956297,12.1962106460892,other
PARP1,HIST2H2AB,ENSG00000143799,ENSG00000184270,Q8IUE6,7.04106926858492,2.72621365477805,0.0390771711973748,0.0161609093167303,other
PARP1,HIST2H3A,ENSG00000143799,ENSG00000183598,Q71DI3,9.91627405472932,2.83556368090397,0.0204058787336391,2.51161325993413,other
PARP1,HIST3H2BB,ENSG00000143799,ENSG00000285449,Q8N257,10.3759771744859,3.17802910807425,0.0735778051236156,0.222770258900454,other
PARP1,HLTF,ENSG00000143799,ENSG00000071794,A0A0C4DGA6;Q14527;Q14527-2;H7C5K0,4.1384707818417,1.85360242365063,0.00275558853141883,0.0495263602207632,other
PARP1,HMG20A,ENSG00000143799,ENSG00000140382,Q9NP66,10.5778248437997,2.93803900698156,0.000115671026363616,0.00965047236712421,other
PARP1,HMGB2,ENSG00000143799,ENSG00000164104,D6R9A6;P26583,12.2008141076946,3.45028270753862,0.00450740335288383,2.58116781653405,other
PARP1,HOXA11,ENSG00000143799,ENSG00000005073,H0YIA6;P31270,9.79747125957734,2.01967959750892,9.30169176389816e-05,0.0169521075095881,other
PARP1,HOXA13,ENSG00000143799,ENSG00000106031,P31271,35.0178413100442,6.49653394893008,0.00184416154455256,0,other
PARP1,HOXB9,ENSG00000143799,ENSG00000170689,P17482,19.8531735934282,4.60149043274304,0.00113668381996494,0.0603728564622952,other
PARP1,HP1BP3,ENSG00000143799,ENSG00000127483,Q5SSJ5;X6RGJ2;Q5SSJ5-2;B0QZK4;Q5SSJ5-3;Q5SWC8;B0QZK9;B0QZK8;Q5SSJ5-5,9.30832241188899,3.14663830032496,0.00334612106393066,0.181210966609774,other
PARP1,HPCAL1;HPCA;NCALD,ENSG00000143799,ENSG00000104490,P37235;P84074;P61601,81.6677269649819,10.3195618161059,0.00206813095259858,0.268354287362677,other
PARP1,IMPDH1,ENSG00000143799,ENSG00000106348,P20839;P20839-3;P20839-7;P20839-5;P20839-6;A0A3B3IRL5;C9J381;P20839-2;P20839-4;C9K0R9;C9J029;H7C5T1;H7C511,25.8967124205632,4.84099170030544,0.00112870824401226,0.0721784177504267,purine
PARP1,IMPDH2,ENSG00000143799,ENSG00000178035,P12268;H0Y4R1;E7ETK5,5.09361613026138,2.25521098364288,0.0355904991858398,1.48621227540191,IMPDH2
PARP1,IVNS1ABP,ENSG00000143799,ENSG00000116679,Q9Y6Y0,30.198114952938,6.26862694637607,0.000903042028109055,0.0768257650424289,other
PARP1,JUN,ENSG00000143799,ENSG00000177606,P05412,4.35747591303955,2.15952970188324,0.0147262308734509,0.00307718134250022,other
PARP1,KAT7,ENSG00000143799,ENSG00000136504,E7EUP3;O95251-3;O95251-5;O95251-2;O95251-4;O95251,17.3631542613993,5.67027876922741,0.00029243029788243,0.0329471155273811,other
PARP1,KIF22,ENSG00000143799,ENSG00000079616,Q14807-2;Q14807;H3BRB3;I3L306,13.0620198486234,3.68699817575494,0.000561075375073026,0.0080914738869257,other
PARP1,KPNA3,ENSG00000143799,ENSG00000102753,O00505;H0Y4S9,7.19230212384361,3.61592503913991,0.000304392502889958,0.389250542881639,other
PARP1,LBR,ENSG00000143799,ENSG00000143815,Q14739;C9JXK0;A0A494C1L1;C9JES9,5.07720344988439,1.6838596388693,0.000208115357625929,0.0131606842555788,metabolic
PARP1,LIG3,ENSG00000143799,ENSG00000005156,P49916-3;P49916-4;P49916;P49916-2;K7ERZ5;K7ENR9;K7EQB6;K7ELY6;K7EJR4,84.0977180522566,10.3484405005868,0.0428642422573511,0.0458132314571171,other
PARP1,MBD1,ENSG00000143799,ENSG00000141644,A0A0A0MS90;Q9UIS9-4;Q9UIS9-11;Q9UIS9-8;Q9UIS9-7;Q9UIS9-6;Q9UIS9-5;Q9UIS9-10;Q9UIS9-2;Q9UIS9;Q9UIS9-9;Q9UIS9-12,4.45897665128035,2.51064686963681,8.77435533984964e-05,0.00133197272370329,other
PARP1,MBD3,ENSG00000143799,ENSG00000071655,K7EIE8;O95983-2;O95983;A0A087WT34;A0A087X1H1;A0A0A0MTS6,17.5614811920175,4.34325669060229,0.00233128146325092,0.0982270115758901,other
PARP1,MCM2,ENSG00000143799,ENSG00000073111,P49736;H0Y8E6,24.3589650656006,4.53052273483172,0.000566678564945994,0.287863757408698,other
PARP1,MCM3,ENSG00000143799,ENSG00000112118,P25205;P25205-2;J3KQ69;A0A499FHX9;Q7Z6P5,8.64134462686406,2.86825461290443,0.00268416763729767,0.250556503762109,other
PARP1,MCM4,ENSG00000143799,ENSG00000104738,A0A3B3IU45;P33991;E5RG31;A0A3B3IT92;A0A3B3ITP6;A0A3B3IS57;A0A3B3IRR8,14.8209251795117,4.54668588787,0.00304579590169117,0.297041094737854,other
PARP1,MCM5,ENSG00000143799,ENSG00000100297,P33992;B1AHB1;B1AHA9;F8WFD7;B1AHB2,5.38231623274336,2.13131407145007,0.00155464711556524,0.249947318218371,other
PARP1,MCM6,ENSG00000143799,ENSG00000076003,Q14566,42.8250529326968,8.19543781464012,0.00290424987112925,0.433468822933661,other
PARP1,MCM7,ENSG00000143799,ENSG00000166508,P33993;P33993-2;P33993-3,13.7258095990464,3.91644853028824,0.00232736075375073,0.670204484810605,other
PARP1,MEAF6,ENSG00000143799,ENSG00000163875,Q9HAF1-2;Q9HAF1;Q9HAF1-4;Q9HAF1-3;B1AK63,4.94759321478269,1.89048555185011,0.00108553753216243,0.00734449866583331,other
PARP1,MECP2,ENSG00000143799,ENSG00000169057,P51608-2;P51608;I6LM39;A0A087X1U4;B5MCB4;A0A087WVW7;A0A0D9SFX7;A0A1B0GTV0,83.8566627130557,10.6571274827611,0.00315956362953656,0.0100032853353846,other
PARP1,MSH2,ENSG00000143799,ENSG00000095002,P43246;P43246-2;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02;A0A2R8Y7S8;C9J809;A0A2R8Y713,25.4729898110687,5.30142594022842,0.000260090374442651,0.110962008015302,other
PARP1,MSH6,ENSG00000143799,ENSG00000116062,P52701;A0A494C0M1;A0A087WWJ1;P52701-2;P52701-3;P52701-4;F8WAX8;C9JH55;C9J8Y8;C9J7Y7;A0A087WYT6;F8W7G9,18.9102996514243,4.55196571909952,0.000315326798299586,0.0735303733262818,other
PARP1,MSL1,ENSG00000143799,ENSG00000188895,J3QQY0;J3KSZ8;Q68DK7;Q68DK7-2;J3KRQ4;Q68DK7-3,6.72440979433317,2.41557724289924,0.000352374680918142,0.00290403615471525,other
PARP1,MTA1,ENSG00000143799,"",E7ESY4;Q13330-3;Q13330;H0Y4T7;Q13330-2;H7C3F3;F8W9Y9,44.7427260651159,8.24170646966078,0.000277810175779934,0.0564119558734814,other
PARP1,MTA2,ENSG00000143799,ENSG00000149480,O94776;O94776-2;E9PCS8;E7EQY4;D6W5A2;E7EV10;Q9BTC8-2;Q9BTC8,14.2544249479499,3.71190428893854,0.00147411778598152,0.163239741339936,other
PARP1,NFIC;NFIA,ENSG00000143799,ENSG00000141905,P08651-3;P08651;A0A286YEX4;P08651-2;P08651-4;P08651-5;P08651-6;B1AKN6;B1AKN8;A0A590UK09;S4R3K4;B1AKN5;S4R308;A0A590UK73;A0A590UJ82;B1AKN7;Q12857-2;Q12857-3;Q12857;Q12857-4,15.1383346603243,3.95807037512641,0.00133509870996991,0.0448268888675208,other
PARP1,NR2F2,ENSG00000143799,ENSG00000185551,P24468;P24468-3;P24468-2,3.13793705090312,2.76315673883506,0.000634224290538652,0.0631253555774578,other
PARP1,NUMA1,ENSG00000143799,ENSG00000137497,Q14980;Q14980-2;A0A087WY61;Q14980-3;Q14980-4;F5H4J1;F5H6Y5;Q14980-5;H0YFY6;K4DIE0;F5H763;F5H3L6;F5H2F3;F5H0Z7;F5H4Y4;F5H7R5;F5H1L0;F8W6T3;F5H068;F5H073;F5GWK2;F5GWA2;F5GZW1,4.43593167692738,1.81679464182598,0.000321205706734534,0.074987902092128,other
PARP1,NUP188,ENSG00000143799,ENSG00000095319,Q5SRE5-2;Q5SRE5,9.0171251020465,1.65716072344318,8.71193816718878e-05,0.0331684761315534,other
PARP1,PARP2,ENSG00000143799,ENSG00000129484,G3V167;Q9UGN5-2;Q9UGN5;H0YH02,8.78121310946738,2.8878967734222,0.000588127161640387,0.0269275703742878,other
PARP1,PBRM1,ENSG00000143799,"",Q86U86-5;Q86U86-4;Q86U86-7;Q86U86-3;Q86U86-9;Q86U86-2;Q86U86-8;Q86U86;H0Y5B5;E7EVG2;Q86U86-6,24.9072567563371,5.09776721843104,0.000249046634585077,0.0125309040343055,other
PARP1,PHF10,ENSG00000143799,ENSG00000130024,S5FZ81;Q8WUB8-3;Q8WUB8-2;Q8WUB8,6.16762685943759,2.8002788053078,0.000169630952749012,0.0290969302146686,other
PARP1,PHF14,ENSG00000143799,ENSG00000106443,A0A0U1RRH6;O94880;B4DG57;O94880-2,9.13125087428029,3.16114634576727,0.000825084426389977,0.00207348370116705,other
PARP1,PIP5K1A,ENSG00000143799,ENSG00000107242,A6PW57;Q99755-4;A2A5X0;A6PW58;O14986-3;O14986;O14986-2,4.47421587219891,2.53241484285356,0.000231810511988664,0.0165102949260314,metabolic
PARP1,PKNOX1;PKNOX2,ENSG00000143799,ENSG00000160199,E7EPN6;P55347-2;Q96KN3-2;P55347;Q96KN3,4.27156179113055,1.93208183187633,0.000629463586530932,0.0117438001804438,other
PARP1,PMS2P11,ENSG00000143799,"",Q13670,77.8356214576083,10.0420465504125,0.00377839260483181,0,other
PARP1,PNKP,ENSG00000143799,ENSG00000039650,M0QYH2;Q96T60;M0QYI1;M0R3C8;A0A0D9SFL2;Q96T60-2;A0A0D9SEV0;M0R000;A0A1B0GU66;A0A0D9SFD6;M0QX49,54.5315509417135,8.15088290010474,0.0167002690934584,0.0105541479362484,other
PARP1,POGZ,ENSG00000143799,ENSG00000143442,Q7Z3K3-5;Q7Z3K3-7;Q7Z3K3-2;Q7Z3K3-3;Q7Z3K3-6;Q7Z3K3;A6PW30;E9PJY9;E9PIR8;Q7Z3K3-4,7.58342176564244,4.36135070572416,0.000192814816319918,0.0268331709157209,other
