Uniprot,pvalue,Estimate
A0A087X0M5,0.382933955102531,0.53042123606635
A0A0B4J1V0,0.770540941553221,0.126658004510868
A0A0B4J2D5,0.429123491886038,-0.215366734537678
A0A1B0GV03,0.380320072118351,0.428795104818044
A0A1B0GVK7,0.522181434053593,-0.0886522072240424
A0AV96,0.0304633012297399,-0.501889026597505
A0AVI2,0.722582991421327,-0.110728915667117
A0FGR8,0.0833865080523317,0.381425546028972
A0PJW6,0.842884361225817,-0.0562300211088504
A0PK00,0.155192557945196,-0.585428682753536
A1A4S6,0.621696801592337,-0.0977201993882165
A1L0T0,0.378615914141408,-0.27079497077883
A1L3X0,0.0168313256679812,-1.04836343546116
A2AJT9,0.0136781971896007,-0.840058783233653
A2PYH4,0.684451884116992,-0.17573629412982
A2RRD8,0.86683533920814,0.086671269380935
A2RRP1,0.14213056298551,0.385797452897576
A2RUC4,0.754136880168908,0.156358030704354
A3KMH1,0.0707613196991053,0.773137817613409
A3KN83,0.157825240480744,-0.639993564060852
A3QJZ6,0.0517963421116533,-0.236971461112767
A4D1E9,0.0052003751049472,1.06572772550337
A5YKK6,0.0720939687361619,0.669554154819198
A5YM69,0.15448112841897,-0.774513919569824
A6NC57,0.134286804574698,0.285858968894819
A6NC98,0.942432867641493,0.0173994719462779
A6NEN9,0.952140433393588,-0.0133842982126093
A6NFI3,0.535104257986097,-0.221060387391515
A6NFU8,0.540980512677094,0.0731094328953144
A6NHR9,0.773084803229742,-0.137784611948127
A6NIE6,0.188663843045694,-0.325191853409432
A6NJ78,0.211921543186379,-0.264094583100494
A6NKF1,0.035416580800183,-0.675046657734993
A6NMZ2,0.22699194097324,0.474748371015636
A6QL64,0.225660861041506,0.623005388966274
A7E2V4,0.577746453300666,0.0563168432633486
A7KAX9,0.000605934057051063,1.1099024815062
A8CG34,0.493782311457901,-0.0864316473951793
A8K2U0,0.188113438829355,-0.190950844104157
A8MUN3,0.333929281880651,-0.179504296523908
A8MW92,0.307495540325004,-0.465323949026311
A8MWK0,0.615493512664451,-0.0727694948632796
A8MXV4,0.358978174449115,0.129024322409901
A8MYU2,0.705792781152733,0.0676113772170884
A9Z1Z3,0.654562693188558,0.102218539319175
B2RTY4,0.0121252674482704,0.474218168986063
B4E2M5,0.701697591046439,-0.0473130603070038
C9JLW8,0.00580725530356852,1.04499552986673
C9JQI7,0.274215106421657,0.313089178838113
CON_P00735,0.839785277811116,0.0697355285750211
CON_P00761,0.277745199867612,-0.23796279230314
CON_P01030,0.204123074339223,-0.458198783862956
CON_P01045,0.196394568814069,-0.304160699477609
CON_P01966,0.572032827298215,-0.121573097036595
CON_P02070,0.206199251605818,-0.321307770739861
CON_P02662,0.290493249714844,-0.340887991799296
CON_P02663,0.419545887325607,-0.271251645609001
CON_P02666,0.677382160493726,0.139086492433296
CON_P02668,0.0417379204955337,0.880413773223877
CON_P02672,0.424175998667271,-0.288992107383364
CON_P02676,0.0213290507769327,-0.776715916902767
CON_P02754,0.365193742391666,-0.336712577144338
CON_P02769,0.697603481970133,-0.114086980519676
CON_P02777,0.016479122915532,2.16459047173641
CON_P05784,0.00320494738814476,1.12670703954895
CON_P06868,0.118698097129663,-0.284749908733251
CON_P08730,0.186932118668047,-0.959644703785222
CON_P12763,0.778249283496437,-0.106193150522074
CON_P15497,0.672033640204706,0.047941988753598
CON_P15636,0.0524535013360507,-0.415182007564233
CON_P17690,0.841518404576556,0.079938718492224
